用户编码,姓名,经历序号,起始时间（YYYY-MM-DD）,终止时间（（YYYY-MM-DD））,是否全国性组织,是否中央派出,一级关键词编码,地方一级关键词,二级关键词编码,地方二级关键词,地区级别,录入信息备注,地方三级关键词,基本大类别,职务一级关键词编码,职务一级关键词,录入信息备注,职务二级关键词,职务三级关键词,具体职务,级别,标志位,学历,序号
1,孙永春,1,6/1/1974,12/1/1976,否,否,370000,山东省,370500,东营市,地级市（区）,,垦利县,基层组织,9637,西宋乡,,大三合村,,团支部书记,小于副处,无,高中,1
1,孙永春,2,12/1/1976,3/1/1978,否,否,370000,山东省,370500,东营市,地级市（区）,,垦利县,党委,1343,党委工作队,,,,组长,小于副处,无,高中,2
1,孙永春,3,3/1/1978,10/1/1978,否,否,370000,山东省,370500,东营市,地级市（区）,,垦利县,基层组织,9637,西宋乡,,,,团委书记,小于副处,无,高中,3
1,孙永春,4,10/1/1978,6/1/1980,否,否,370000,山东省,370500,东营市,地级市（区）,,垦利县,党委,1300,党委常委会/政治局 ,,,,干事,小于副处,无,高中,4
1,孙永春,5,6/1/1980,8/1/1984,否,否,370000,山东省,,,,,,共青团,4600,共青团委,,,,干事,小于副处,无,高中,5
1,孙永春,6,8/1/1984,9/1/1987,否,否,370000,山东省,,,,,,共青团,4602,组织部（共青团）,,,,副部长,副处,无,高中,6
1,孙永春,7,10/1/1984,7/1/1987,是,否,370000,山东省,370800,济宁市,地级市（区）,,曲阜市,学校,80243,曲阜师范大学,,函授中文系,大专班,学员,副处,学校,专科,7
1,孙永春,8,9/1/1987,10/1/1989,否,否,370000,山东省,,,,,,共青团,4600,共青团委,,,,常委/组织部部长,正处,无,专科,8
1,孙永春,9,9/1/1989,7/1/1992,是,否,840000,中央,,,,,,学校,80001,中央党校,,函授本科,经济管理专业,学员,正处,学校,本科,9
1,孙永春,10,10/1/1989,4/1/1991,否,否,370000,山东省,371600,滨州市,地级市（区）,,博兴县,党委,1300,党委常委会/政治局 ,,,,副书记,正处,无,本科,10
1,孙永春,11,4/1/1991,9/1/1992,否,否,370000,山东省,,,,,,共青团,4600,共青团委,,,,常委/组织部部长,副厅,无,本科,11
1,孙永春,12,9/1/1992,12/1/1997,否,是,370000,山东省,,,,,,共青团,4600,共青团委,,,,副书记,副厅,无,本科,12
1,孙永春,13,9/1/1995,12/1/1997,是,否,370000,山东省,,,,,,学校,80248,山东省委党校,,研究生班,经济管理专业,学员,副厅,学校,硕士,13
1,孙永春,14,12/1/1997,1/1/2001,否,否,370000,山东省,371400,德州市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,副书记,副厅,市委副书记（专职）,硕士,14
1,孙永春,15,1/1/2001,3/1/2006,否,否,370000,山东省,371400,德州市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,硕士,15
1,孙永春,16,3/1/2006,10/1/2006,否,否,370000,山东省,370600,烟台市,地级市（区）,,,政府_国务院,2600,政府/国务院（综合）,,,,市长,正厅,市长,硕士,16
1,孙永春,17,10/1/2006,4/1/2011,否,否,370000,山东省,370600,烟台市,地级市（区）,,,党委,1300,党委常委会/政治局 ,,,,书记,正厅,市委书记,硕士,17
1,孙永春,18,4/1/2011,7/1/2015,否,否,520000,贵州省,,,,,,党委,1302,组织部 （党委）,,,,部长,副部,省组织部长,硕士,18
1,孙永春,19,4/1/2011,7/1/2015,否,否,520000,贵州省,,,,,,党委,1300,党委常委会/政治局 ,,,,常委,副部,省常委（其他）,硕士,19
1,孙永春,20,4/1/2011,7/1/2015,是,否,520000,贵州省,,,,,,学校,81968,贵州省委党校,,,,校长,副部,学校,硕士,20
2,雷建国,1,11/1/1970,5/1/1972,否,否,370000,山东省,370100,济南市,副省级城市,,,地方企业,5600,济阳县机械厂,,,,工人,无级别,无,高中,1
2,雷建国,2,5/1/1972,8/1/1974,是,否,370000,山东省,,,,,,学校,37006,山东省机械工业学校,,,,学生,无级别,学校,高中,2
2,雷建国,3,8/1/1974,10/1/1975,否,否,370000,山东省,370100,济南市,副省级城市,,,地方企业,5602,济阳县农具厂,,,,技术员,无级别,无,高中,3
