"pid","year","p.sec","p.gvn","pname"
370000,1995,"赵志浩","赵志浩","山东省"
520000,1995,"刘方仁","陈士能","贵州省"
410000,1995,"李长春","马忠臣","河南省"
340000,1995,"卢荣景","回良玉","安徽省"
110000,1995,"陈希同","李其炎","北京市"
130000,1995,"程维高","叶连松","河北省"
610000,1995,"安启元","程安东","陕西省"
310000,1995,"黄菊","黄菊","上海市"
620000,1995,"阎海旺","张吾乐","甘肃省"
320000,1995,"陈焕友","郑斯林","江苏省"
420000,1995,"贾志杰","贾志杰","湖北省"
360000,1995,"毛致用","吴官正","江西省"
350000,1995,"贾庆林","陈明义","福建省"
440000,1995,"谢非","朱森林","广东省"
120000,1995,"高德占","张立昌","天津市"
650000,1995,"王乐泉","阿不来提·阿不都热西提","新疆维吾尔自治区"
430000,1995,"王茂林","杨正午","湖南省"
500000,1995,"","","重庆市"
230000,1995,"岳歧峰","","黑龙江省"
530000,1995,"普朝柱","和志强","云南省"
210000,1995,"顾金池","闻世震","辽宁省"
510000,1995,"谢世杰","肖秧","四川省"
140000,1995,"胡富国","孙文盛","山西省"
630000,1995,"尹克升","田成平","青海省"
150000,1995,"刘明祖","乌力吉","内蒙古自治区"
220000,1995,"何竹康","高严","吉林省"
330000,1995,"李泽民","万学远","浙江省"
450000,1995,"赵富林","成克杰","广西壮族自治区"
460000,1995,"阮崇武","阮崇武","海南省"
540000,1995,"陈奎元","江村罗布","西藏自治区"
640000,1995,"黄璜","白立忱","宁夏回族自治区"
370000,1996,"赵志浩","李春亭","山东省"
520000,1996,"刘方仁","陈士能","贵州省"
410000,1996,"李长春","马忠臣","河南省"
340000,1996,"卢荣景","回良玉","安徽省"
110000,1996,"尉健行","李其炎","北京市"
130000,1996,"程维高","叶连松","河北省"
610000,1996,"安启元","程安东","陕西省"
310000,1996,"黄菊","徐匡迪","上海市"
620000,1996,"阎海旺","张吾乐","甘肃省"
320000,1996,"陈焕友","郑斯林","江苏省"
420000,1996,"贾志杰","蒋祝平","湖北省"
360000,1996,"吴官正","舒圣佑","江西省"
350000,1996,"贾庆林","陈明义","福建省"
440000,1996,"谢非","朱森林","广东省"
120000,1996,"高德占","张立昌","天津市"
650000,1996,"王乐泉","阿不来提·阿不都热西提","新疆维吾尔自治区"
430000,1996,"王茂林","杨正午","湖南省"
500000,1996,"张德邻","","重庆市"
230000,1996,"岳歧峰","田凤山","黑龙江省"
530000,1996,"高严","和志强","云南省"
210000,1996,"顾金池","闻世震","辽宁省"
510000,1996,"谢世杰","肖秧","四川省"
140000,1996,"胡富国","孙文盛","山西省"
630000,1996,"尹克升","田成平","青海省"
150000,1996,"刘明祖","乌力吉","内蒙古自治区"
220000,1996,"张德江","王云坤","吉林省"
330000,1996,"李泽民","万学远","浙江省"
450000,1996,"赵富林","成克杰","广西壮族自治区"
460000,1996,"阮崇武","阮崇武","海南省"
540000,1996,"陈奎元","江村罗布","西藏自治区"
640000,1996,"黄璜","白立忱","宁夏回族自治区"
370000,1997,"赵志浩","李春亭","山东省"
520000,1997,"刘方仁","吴亦侠","贵州省"
410000,1997,"李长春","马忠臣","河南省"
340000,1997,"卢荣景","回良玉","安徽省"
110000,1997,"尉健行","贾庆林","北京市"
130000,1997,"程维高","叶连松","河北省"
610000,1997,"安启元","程安东","陕西省"
310000,1997,"黄菊","徐匡迪","上海市"
620000,1997,"阎海旺","孙英","甘肃省"
320000,1997,"陈焕友","郑斯林","江苏省"
420000,1997,"贾志杰","蒋祝平","湖北省"
360000,1997,"吴官正","舒圣佑","江西省"
350000,1997,"陈明义","贺国强","福建省"
440000,1997,"谢非","卢瑞华","广东省"
120000,1997,"高德占","张立昌","天津市"
650000,1997,"王乐泉","阿不来提·阿不都热西提","新疆维吾尔自治区"
430000,1997,"王茂林","杨正午","湖南省"
500000,1997,"张德邻","蒲海清","重庆市"
230000,1997,"岳歧峰","田凤山","黑龙江省"
530000,1997,"高严","和志强","云南省"
210000,1997,"顾金池","闻世震","辽宁省"
510000,1997,"谢世杰","宋宝瑞","四川省"
