Statefip	County	SMSA	tract1	jurcode	borderno	block1	tierno	oddshape	tracks	pairno	pop_tot_block	flaggq	perund18	pernoplumb	persingfam	valprm	lnvalprm	house_ownocc	rentprm	lnrentprm	perblack	house_rent	peroo
39	113	Dayton	55	daytonoh	67	201	1	Y		1	234	0	0.35	0	1	13943.35512	9.542758338	71	.	.	0	1	0.986111111
39	113	Dayton	55	daytonoh	67	202	6	Y		1	43	0	0.47	0	1	14253.39367	9.564750309	11	.	.	0	1	0.916666667
39	113	Dayton	55	daytonoh	67	203	6	Y		1	83	0	0.4	0.04	1	14225.29796	9.562777205	22	.	.	0.02	0	1
39	113	Dayton	55	daytonoh	67	204	2	Y		1	188	0	0.32	0	0.982758621	15071.12649	9.620536039	52	115.7407407	4.751352696	0	5	0.912280702
39	113	Dayton	55	daytonoh	67	205	2	Y		1	134	0	0.49	0.03125	1	14845.93838	9.605481597	31	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	206	1			1	18	0	0.22	0	1	13762.48613	9.529701773	7	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	207	1			1	22	0	0.27	0	0	.	.	0	.	.	.	0	.
39	113	Dayton	55	daytonoh	67	208	1			1	13	0	0.39	0	0	.	.	0	.	.	.	0	.
39	113	Dayton	55	daytonoh	67	210	1			1	36	0	0.22	0	0.6875	15206.08243	9.629450787	11	116.3398693	4.756515815	0	5	0.6875
39	113	Dayton	55	daytonoh	67	211	1			1	31	0	0.23	0	1	13533.25644	9.512905375	12	.	.	0	2	0.857142857
39	113	Dayton	55	daytonoh	67	212	2			1	50	0	0.16	0.04	0.88	12141.77979	9.404407659	21	.	.	0	4	0.84
39	113	Dayton	55	daytonoh	67	213	2			1	69	0	0.16	0	0.903225806	12254.90196	9.413681296	24	87.98185941	4.47713065	0	7	0.774193548
39	113	Dayton	55	daytonoh	67	214	1			1	51	0	0.14	0	0.9	12313.72549	9.418469813	17	.	.	0	3	0.85
39	113	Dayton	55	daytonoh	67	301	1			1	19	0	0.21	0	0.714285714	.	.	4	.	.	0	3	0.571428571
39	113	Dayton	55	daytonoh	67	302	1	Y		1	25	0	0.28	0	1	12862.7451	9.462090435	11	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	303	1	Y		1	47	0	0.21	0	1	12181.89403	9.407706033	21	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	304	1	Y		1	49	0	0.25	0	0.9	13480.39216	9.508991476	17	.	.	0	2	0.894736842
39	113	Dayton	55	daytonoh	67	305	1			1	37	0	0.24	0	1	11692.08424	9.366667331	8	.	.	0	4	0.666666667
39	113	Dayton	55	daytonoh	67	306	2			1	72	0	0.22	0	0.870967742	13273.00151	9.493487289	22	96.47696477	4.569304273	0	8	0.733333333
39	113	Dayton	55	daytonoh	67	307	2			1	68	0	0.16	0	0.903225806	12392.15686	9.42481904	25	114.2857143	4.738701579	0	6	0.806451613
39	113	Dayton	55	daytonoh	67	308	2			1	47	0	0.13	0	1	12535.01401	9.436281128	17	.	.	0	3	0.85
39	113	Dayton	55	daytonoh	67	309	2			1	25	0	0.28	0	1	12134.66519	9.403821527	9	.	.	0	1	0.9
39	113	Dayton	55	daytonoh	67	310	2	Y		1	26	0	0.08	0.083333333	0.75	11474.21932	9.347857999	9	.	.	0	3	0.75
39	113	Dayton	55	daytonoh	67	311	3			1	45	0	0.07	0.043478261	0.956521739	1391.772395	7.238333318	22	.	.	0	1	0.956521739
39	113	Dayton	55	daytonoh	67	312	3			1	37	0	0.03	0	0.052631579	11226.45136	9.326028002	16	.	.	0	2	0.888888889
39	113	Dayton	55	daytonoh	67	313	3			1	51	0	0.14	0	1	13398.69281	9.50291243	23	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	314	4			1	83	0	0.27	0	0.933333333	13840.83045	9.535378231	24	106.6666667	4.669708707	0	6	0.8
39	113	Dayton	55	daytonoh	67	315	4			1	22	0	0.05	0	0.75	13845.53822	9.535718309	9	.	.	0	3	0.75
39	113	Dayton	55	daytonoh	67	316	4			1	56	1	0.09	0	0.625	12784.31373	9.455974208	16	149.4949495	5.00726261	0	8	0.666666667
39	113	Dayton	55	daytonoh	67	317	5			1	47	0	0.19	0	0.8	11840.12066	9.3792491	15	96.2962963	4.567429858	0	5	0.75
39	113	Dayton	55	daytonoh	67	401	5	Y		1	120	0	0.12	0	0.457627119	12345.67901	9.421061403	22	127.5362319	4.848400496	0	36	0.379310345
39	113	Dayton	55	daytonoh	67	402	4			1	58	0	0.16	0	0.964285714	12745.09804	9.452902009	26	.	.	0	2	0.928571429
39	113	Dayton	55	daytonoh	67	403	4			1	78	0	0.22	0	1	12443.43891	9.428948768	28	.	.	0.01	0	1
39	113	Dayton	55	daytonoh	67	404	2			1	52	1	0.22	.	.	.	.	0	.	.	0	3	0
39	113	Dayton	55	daytonoh	67	405	2			1	68	0	0.15	0	1	12244.89796	9.412864636	25	.	.	0	3	0.892857143
39	113	Dayton	55	daytonoh	67	406	1			1	22	0	0.32	0	0.875	11622.10339	9.360664028	6	.	.	0	2	0.75
39	113	Dayton	55	daytonoh	67	407	1			1	17	0	0.59	0	0	.	.	0	.	.	.	0	.
39	113	Dayton	55	daytonoh	67	408	1			1	19	0	0.42	0	1	11613.87632	9.359955897	6	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	409	1			1	4	0	0	0	0	.	.	0	.	.	.	0	.
39	113	Dayton	55	daytonoh	67	411	2			1	58	0	0.26	0	0.916666667	11764.70588	9.372859301	17	106.8783069	4.671690868	0	6	0.739130435
39	113	Dayton	55	daytonoh	67	412	2			1	66	0	0.15	0	0.857142857	10884.35374	9.2950816	23	.	.	0	5	0.821428571
39	113	Dayton	55	daytonoh	67	413	4			1	58	0	0.21	0.043478261	1	13466.51868	9.507961786	23	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	414	4			1	39	0	0.18	0	1	12645.05802	9.445021748	15	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	415	5			1	50	0	0.44	0	0.833333333	11764.70588	9.372859301	11	.	.	0	1	0.916666667
39	113	Dayton	55	daytonoh	67	416	5			1	65	0	0.31	0	1	11764.70588	9.372859301	20	.	.	0	2	0.909090909
39	113	Dayton	55	daytonoh	67	417	7	Y		1	52	0	0.19	0.038461538	0.692307692	11303.34487	9.332853967	17	115.3153153	4.747670249	0	9	0.653846154
39	113	Dayton	55	daytonoh	67	502	7	Y		1	72	0	0.11	0	0.818181818	11990.95023	9.391907496	26	112.5925926	4.723775928	0	6	0.8125
39	113	Dayton	55	daytonoh	67	503	6			1	142	0	0.2	0.017241379	0.706896552	11921.56863	9.386104528	31	116.0493827	4.754015814	0	27	0.534482759
39	113	Dayton	55	daytonoh	67	504	5			1	72	0	0.22	0	0.8	12164.86595	9.406307236	22	109.4017094	4.695026515	0	8	0.733333333
39	113	Dayton	55	daytonoh	67	505	4			1	75	0	0.15	0	1	12841.21492	9.460415192	26	.	.	0	4	0.866666667
39	113	Dayton	55	daytonoh	67	506	3			1	72	0	0.21	0	1	11995.38639	9.392277387	26	.	.	0	3	0.896551724
39	113	Dayton	55	daytonoh	67	507	3			1	43	0	0.35	0	0.866666667	12971.34238	9.470497771	15	.	.	0	0	1
39	113	Dayton	55	daytonoh	67	508	5			1	75	0	0.25	0.035714286	1	13767.20901	9.530044885	25	.	.	0	3	0.892857143
