Statefip	County	SMSA	Tract	Jurcode	Borderno	Block	tierno	oddshape	tracks	pairno	pop_tot_block	flaggq	perund18	pernoplumb	persingfam	peroo	valprm	lnvalprm	ct4_ooval	rentprm	lnrentprm	perblack	av_rooms_oo	av_value	av_rooms_rt	av_rent	ct2_occ
39	113	Dayton	0055	daytonoh	67	201	1	Y		1	234	0	0.35	0	1	0.97260274	13943.35512	9.542758338	71	.	.	0	5.4	19200	0	0	73
39	113	Dayton	0055	daytonoh	67	202	6	Y		1	43	0	0.47	0	1	0.916666667	14253.39367	9.564750309	11	.	.	0	5.2	18900	0	0	12
39	113	Dayton	0055	daytonoh	67	203	6	Y		1	83	0	0.4	0.04	1	0.88	14225.29796	9.562777205	22	.	.	0.02	5.1	18500	0	0	25
39	113	Dayton	0055	daytonoh	67	204	2	Y		1	188	0	0.32	0	0.982758621	0.896551724	15071.12649	9.620536039	52	115.74	4.751352696	0	5.1	19600	4.8	125	58
39	113	Dayton	0055	daytonoh	67	205	2	Y		1	134	0	0.49	0.03125	1	0.96875	14845.93838	9.605481597	31	.	.	0	5.6	21200	0	0	32
39	113	Dayton	0055	daytonoh	67	206	1			1	18	0	0.22	0	1	1	13762.48613	9.529701773	7	.	.	0	5.3	18600	0	0	7
39	113	Dayton	0055	daytonoh	67	207	1			1	22	0	0.27	0	0	0	.	.	0	.	.	.	0	0	0	0	4
39	113	Dayton	0055	daytonoh	67	208	1			1	13	0	0.39	0	0	0	.	.	0	.	.	.	0	0	0	0	3
39	113	Dayton	0055	daytonoh	67	210	1			1	36	0	0.22	0	0.6875	0.6875	15206.08243	9.629450787	11	116.34	4.756515815	0	4.9	19000	3.4	89	16
39	113	Dayton	0055	daytonoh	67	211	1			1	31	0	0.23	0	1	0.857142857	13533.25644	9.512905375	12	.	.	0	5.1	17600	0	0	14
39	113	Dayton	0055	daytonoh	67	212	2			1	50	0	0.16	0.04	0.88	0.84	12141.77979	9.404407659	21	.	.	0	5.2	16100	0	0	25
39	113	Dayton	0055	daytonoh	67	213	2			1	69	0	0.16	0	0.903225806	0.774193548	12254.90196	9.413681296	24	87.98	4.47713065	0	5.6	17500	4.9	97	31
