DISTANCE	STATE_TEXT	COUNTY_TEX	TRACT_1	JURCODE	OENUM	OESCHOOL
773.55136902700	44	007	13701	cranstri	4900240	64
2061.19759185000	44	007	33	providri	4900900	133
1966.45351469000	44	007	163	pawtucri	4900840	308
2860.51020306000	44	007	16	providri	4900900	56
666.76527319000	44	007	165	pawtucri	4900840	308
2491.00272972000	44	007	147	cranstri	4900240	64
2737.11071155000	44	007	170	pawtucri	4900840	308
3312.47404640000	44	007	17	providri	4900900	339
3256.86875907000	44	007	15	providri	4900900	56
2607.25385904000	44	007	29	providri	4900900	133
3389.36735348000	44	007	2	providri	4900900	56
2022.69707970000	44	007	141	cranstri	4900240	64
680.58310294300	44	007	140	cranstri	4900240	64
1089.41833524000	06	037	621301	redondca	1437410	5351
445.92837925900	06	037	302101	glendaca	1415240	2392
3666.56111045000	06	037	3111	burbanca	1406450	731
2410.18191183000	06	037	1243	losangca	1422710	4575
1866.30151742000	06	037	1253	losangca	1422710	4575
1989.57395089000	06	037	3015	glendaca	1415240	2866
3914.21730547000	06	037	3112	burbanca	1406450	731
4227.73498162000	06	037	3114	burbanca	1406450	731
2970.40380722000	06	037	1256	losangca	1422710	4575
1325.03005703000	06	037	302102	glendaca	1415240	2392
2943.74823668000	06	037	3024	glendaca	1415240	2392
2098.58779923000	06	037	480801	alhambca	1401920	108
573.32277356800	06	037	201502	losangca	1422710	7059
1454.39991397000	06	037	201501	losangca	1422710	7059
583.88225681200	06	037	267402	losangca	1422710	6465
1645.10506017000	06	037	2731	losangca	1422710	6556
2213.69897752000	06	037	2732	losangca	1422710	6556
2719.83759862000	06	037	2733	losangca	1422710	6556
2082.19586942000	06	037	2351	losangca	1422710	1328
1772.83598313000	06	037	2349	losangca	1422710	1328
2682.45077712000	06	037	235201	losangca	1422710	1328
3432.24802510000	06	037	2379	losangca	1422710	1328
1458.03912682000	06	037	600801	inglewca	1418390	4827
2928.69887663000	06	037	2381	losangca	1422710	2339
2103.40014712000	06	037	2384	losangca	1422710	2339
609.14694876900	06	037	600702	inglewca	1418390	4827
2943.62026965000	06	037	5504	downeyca	1411460	1580
2643.85706059000	06	037	5533	bellflca	1404440	477
3080.66032258000	06	037	5543	bellflca	1404440	4185
1882.66660280000	06	037	554402	bellflca	1404440	4185
2377.40885255000	06	037	620601	redondca	1437410	349
3026.11727972000	06	037	570002	lakewoca	1422500	3521
2445.59810795000	06	037	620602	redondca	1437410	4337
1494.43168393000	06	037	620702	redondca	1437410	4337
1996.64595827000	06	037	5708	lakewoca	1422500	3521
437.82238423800	06	037	650603	torranca	1439420	6833
2877.74503480000	06	037	650901	torranca	1439420	4698
1621.22629815000	06	037	650702	torranca	1439420	6833
4707.78933644000	06	037	650902	torranca	1439420	4698
1455.87870060000	06	037	293201	losangca	1422710	4596
516.87254713900	06	037	293202	losangca	1422710	4596
2402.86790690000	06	037	6214	redondca	1437410	5351
2860.19099735000	06	037	651201	torranca	1439420	6833
6880.71073867000	06	037	570202	longbeca	1422500	3521
1480.41951298000	06	037	264302	losangca	1422710	6465
1273.28319478000	06	037	2385	losangca	1422710	2339
2074.02157929000	06	037	6505	redondca	1437410	5351
2867.50818514000	06	037	4638	pasadeca	1429940	575
1903.05000011000	06	037	2011	losangca	1422710	7059
2278.89687436000	06	037	1861	losangca	1422710	1641
3134.11620991000	06	037	123102	losangca	1422710	4575
2575.82634854000	06	037	480802	alhambca	1401920	108
1512.59194423000	06	037	1811	losangca	1422710	1641
2424.75816215000	06	037	5713	lakewoca	1422500	3521
5368.83934290000	06	037	570201	longbeca	1422500	3521
1014.22684943000	06	037	554401	bellflca	1404440	4185
2903.23892943000	06	037	570001	lakewoca	1422500	3521
872.10669092900	06	037	571101	lakewoca	1422500	3521
996.88071827400	06	037	5712	longbeca	1422500	3521
1203.98932305000	06	037	3107	burbanca	1406450	731
2067.19997368000	06	037	3118	burbanca	1406450	731
1340.70443345000	06	037	3102	burbanca	1406450	731
1713.03741888000	06	037	600802	inglewca	1418390	4827
2758.16780452000	06	037	235202	losangca	1422710	1328
506.38036320900	06	037	600701	inglewca	1418390	4827
2012.53281846000	06	037	600901	inglewca	1418390	2953
2256.78930267000	06	037	3014	glendaca	1415240	2866
675.74363520700	06	037	571102	lakewoca	1422500	3521
3231.58356058000	06	037	2734	losangca	1422710	6556
4133.75814787000	06	037	651301	torranca	1439420	6833
574.27411663900	06	037	6212	redondca	1437410	5351
1422.03193591000	06	037	5532	bellflca	1404440	477
3518.12770447000	06	037	1431	losangca	1422710	4575
4411.28524805000	06	037	3116	burbanca	1406450	731
1919.78991314000	06	037	1883	losangca	1422710	3192
2066.90413746000	06	037	5503	norwalca	1427690	4711
2764.18912879000	06	037	5518	downeyca	1411460	1648
8010.67126328000	06	037	5704	longbeca	1422500	3521
1609.97110973000	06	037	5422	comptoca	1409620	1549
2170.56825261000	06	037	3016	glendaca	1415240	2866
1715.85212713000	06	037	621302	redondca	1437410	5351
493.85946055400	06	059	87601	anaheica	1402640	3777
791.87721980900	06	059	87602	anaheica	1402640	3777
1993.80245478000	06	059	88201	gargroca	1414880	5305
2269.37313883000	06	059	88301	gargroca	1414880	2265
1403.16759925000	06	059	88401	gargroca	1414880	2265
2469.97602338000	06	059	88403	gargroca	1414880	5777
2657.53775006000	06	059	88202	gargroca	1414880	2265
1124.13387743000	06	059	88302	gargroca	1414880	2265
1956.41384365000	06	059	88402	gargroca	1414880	2265
5253.85313597000	06	059	89101	sananaca	1435310	5980
