Statefip	State_text	Countyfip	County_text	Borderno	Jurcode	Tract	Block	Tierno
6	CA	37	Los Angeles	317	losangca	1043	101	1
6	CA	37	Los Angeles	317	losangca	1043	102	1
6	CA	37	Los Angeles	317	losangca	1043	103	2
6	CA	37	Los Angeles	317	losangca	1043	104	2
6	CA	37	Los Angeles	317	losangca	1043	105	3
6	CA	37	Los Angeles	317	losangca	1043	106	3
6	CA	37	Los Angeles	317	losangca	1043	107	4
6	CA	37	Los Angeles	317	losangca	1043	108	4
6	CA	37	Los Angeles	317	losangca	1043	109	5
6	CA	37	Los Angeles	317	losangca	1043	110	5
6	CA	37	Los Angeles	317	losangca	1043	201	7
6	CA	37	Los Angeles	317	losangca	1043	509	8
6	CA	37	Los Angeles	317	losangca	1043	602	7
6	CA	37	Los Angeles	317	losangca	1043	603	6
6	CA	37	Los Angeles	317	losangca	1043	604	5
6	CA	37	Los Angeles	317	losangca	1043	606	4
6	CA	37	Los Angeles	317	losangca	1043	608	1
6	CA	37	Los Angeles	317	losangca	1043	609	2
6	CA	37	Los Angeles	317	losangca	1043	610	1
6	CA	37	Los Angeles	317	losangca	1043	611	1
6	CA	37	Los Angeles	317	losangca	1064	103	6
6	CA	37	Los Angeles	317	losangca	1064	104	6
6	CA	37	Los Angeles	317	losangca	1064	105	6
6	CA	37	Los Angeles	317	losangca	1064	106	7
6	CA	37	Los Angeles	317	losangca	1064	107	7
6	CA	37	Los Angeles	317	losangca	1064	108	8
6	CA	37	Los Angeles	317	losangca	1064	109	8
6	CA	37	Los Angeles	317	losangca	1064	110	8
6	CA	37	Los Angeles	317	losangca	1064	111	8
6	CA	37	Los Angeles	317	losangca	1064	501	4
6	CA	37	Los Angeles	317	losangca	1064	502	5
6	CA	37	Los Angeles	317	losangca	1064	503	5
6	CA	37	Los Angeles	317	losangca	1064	504	5
6	CA	37	Los Angeles	317	losangca	1064	505	4
6	CA	37	Los Angeles	317	losangca	1064	506	4
6	CA	37	Los Angeles	317	losangca	1064	507	4
6	CA	37	Los Angeles	317	losangca	1064	508	3
6	CA	37	Los Angeles	317	losangca	1064	509	3
6	CA	37	Los Angeles	317	losangca	1064	510	3
6	CA	37	Los Angeles	317	losangca	1064	511	2
6	CA	37	Los Angeles	317	losangca	1064	512	2
6	CA	37	Los Angeles	317	losangca	1064	513	2
6	CA	37	Los Angeles	317	losangca	1064	514	2
6	CA	37	Los Angeles	317	losangca	1067	106	1
6	CA	37	Los Angeles	317	losangca	1067	107	6
6	CA	37	Los Angeles	317	losangca	1067	108	8
6	CA	37	Los Angeles	317	losangca	1067	110	7
6	CA	37	Los Angeles	317	losangca	1067	111	6
6	CA	37	Los Angeles	317	losangca	1067	112	6
6	CA	37	Los Angeles	317	losangca	1067	201	5
6	CA	37	Los Angeles	317	losangca	1067	202	5
6	CA	37	Los Angeles	317	losangca	1067	203	4
6	CA	37	Los Angeles	317	losangca	1067	204	4
6	CA	37	Los Angeles	317	losangca	1067	205	3
6	CA	37	Los Angeles	317	losangca	1067	206	3
6	CA	37	Los Angeles	317	losangca	1067	207	2
6	CA	37	Los Angeles	317	losangca	1067	208	1
6	CA	37	Los Angeles	317	losangca	1067	209	1
6	CA	37	Los Angeles	317	losangca	1067	210	1
6	CA	37	Los Angeles	317	losangca	1068	201	1
6	CA	37	Los Angeles	317	losangca	1068	202	2
6	CA	37	Los Angeles	317	losangca	1068	203	6
6	CA	37	Los Angeles	317	losangca	1068	204	7
6	CA	37	Los Angeles	317	losangca	1068	205	6
6	CA	37	Los Angeles	317	losangca	1068	206	8
6	CA	37	Los Angeles	317	losangca	1091	102	2
6	CA	37	Los Angeles	317	losangca	1091	103	2
6	CA	37	Los Angeles	317	losangca	1091	104	2
6	CA	37	Los Angeles	317	losangca	1091	107	1
6	CA	37	Los Angeles	317	losangca	1091	109	2
6	CA	37	Los Angeles	317	losangca	1091	110	3
6	CA	37	Los Angeles	317	losangca	1095	102	1
6	CA	37	Los Angeles	317	losangca	1095	103	2
6	CA	37	Los Angeles	317	losangca	1095	106	4
6	CA	37	Los Angeles	317	losangca	1095	107	5
6	CA	37	Los Angeles	317	losangca	1095	109	5
6	CA	37	Los Angeles	317	losangca	1095	111	4
6	CA	37	Los Angeles	317	losangca	1095	112	3
6	CA	37	Los Angeles	317	losangca	1095	113	3
6	CA	37	Los Angeles	317	losangca	1095	114	2
6	CA	37	Los Angeles	317	losangca	1095	115	1
6	CA	37	Los Angeles	317	losangca	1095	116	1
6	CA	37	Los Angeles	317	losangca	1095	118	1
6	CA	37	Los Angeles	317	losangca	1095	119	3
6	CA	37	Los Angeles	317	losangca	1095	120	2
6	CA	37	Los Angeles	317	losangca	1095	121	1
6	CA	37	Los Angeles	317	losangca	1095	201	1
6	CA	37	Los Angeles	317	losangca	1095	202	1
6	CA	37	Los Angeles	317	losangca	1095	203	1
6	CA	37	Los Angeles	317	losangca	1095	204	1
6	CA	37	Los Angeles	317	losangca	1095	205	1
6	CA	37	Los Angeles	317	losangca	1095	206	1
6	CA	37	Los Angeles	317	losangca	1095	210	2
6	CA	37	Los Angeles	317	losangca	1095	211	2
6	CA	37	Los Angeles	317	losangca	1095	212	2
6	CA	37	Los Angeles	317	losangca	1095	213	2
6	CA	37	Los Angeles	317	losangca	1095	214	2
6	CA	37	Los Angeles	317	losangca	1095	215	3
6	CA	37	Los Angeles	317	losangca	1095	216	4
6	CA	37	Los Angeles	317	losangca	1095	217	5
6	CA	37	Los Angeles	317	losangca	1095	218	6
6	CA	37	Los Angeles	319	losangca	1898	101	4
6	CA	37	Los Angeles	319	losangca	1898	102	3
6	CA	37	Los Angeles	319	losangca	1898	103	3
6	CA	37	Los Angeles	319	losangca	1898	104	3
6	CA	37	Los Angeles	319	losangca	1898	105	2
6	CA	37	Los Angeles	319	losangca	1898	106	2
6	CA	37	Los Angeles	319	losangca	1898	107	2
6	CA	37	Los Angeles	319	losangca	1898	108	1
6	CA	37	Los Angeles	319	losangca	1898	109	1
6	CA	37	Los Angeles	319	losangca	1898	110	1
6	CA	37	Los Angeles	319	losangca	1898	201	1
6	CA	37	Los Angeles	319	losangca	1898	202	1
6	CA	37	Los Angeles	319	losangca	1898	203	1
6	CA	37	Los Angeles	319	losangca	1898	204	1
6	CA	37	Los Angeles	319	losangca	1898	205	2
6	CA	37	Los Angeles	319	losangca	1898	206	2
6	CA	37	Los Angeles	319	losangca	1898	207	2
6	CA	37	Los Angeles	319	losangca	1898	301	3
6	CA	37	Los Angeles	319	losangca	1898	302	3
6	CA	37	Los Angeles	319	losangca	1898	303	3
6	CA	37	Los Angeles	319	losangca	1898	304	3
6	CA	37	Los Angeles	319	losangca	1898	305	4
6	CA	37	Los Angeles	319	losangca	1898	306	4
6	CA	37	Los Angeles	319	losangca	1898	307	4
6	CA	37	Los Angeles	319	losangca	1899	101	4
6	CA	37	Los Angeles	319	losangca	1899	102	4
6	CA	37	Los Angeles	319	losangca	1899	103	4
6	CA	37	Los Angeles	319	losangca	1899	104	4
6	CA	37	Los Angeles	319	losangca	1899	105	4
6	CA	37	Los Angeles	319	losangca	1899	106	4
6	CA	37	Los Angeles	319	losangca	1899	201	3
6	CA	37	Los Angeles	319	losangca	1899	202	2
6	CA	37	Los Angeles	319	losangca	1899	203	2
6	CA	37	Los Angeles	319	losangca	1899	204	1
6	CA	37	Los Angeles	319	losangca	1899	205	1
6	CA	37	Los Angeles	319	losangca	1899	206	1
6	CA	37	Los Angeles	319	losangca	1899	207	3
6	CA	37	Los Angeles	319	losangca	1899	208	3
6	CA	37	Los Angeles	319	losangca	1899	209	3
6	CA	37	Los Angeles	319	losangca	1899	210	1
6	CA	37	Los Angeles	319	losangca	1899	301	1
6	CA	37	Los Angeles	319	losangca	1899	302	1
6	CA	37	Los Angeles	319	losangca	1899	303	1
6	CA	37	Los Angeles	319	losangca	1899	304	1
6	CA	37	Los Angeles	319	losangca	1899	305	1
6	CA	37	Los Angeles	319	losangca	1899	306	2
6	CA	37	Los Angeles	319	losangca	1899	401	3
6	CA	37	Los Angeles	319	losangca	1899	402	3
6	CA	37	Los Angeles	319	losangca	1899	403	3
6	CA	37	Los Angeles	319	losangca	1899	404	3
6	CA	37	Los Angeles	319	losangca	1899	405	4
6	CA	37	Los Angeles	319	losangca	1899	406	4
6	CA	37	Los Angeles	319	losangca	1899	501	4
6	CA	37	Los Angeles	319	losangca	1899	502	4
6	CA	37	Los Angeles	319	losangca	1921	102	1
6	CA	37	Los Angeles	319	losangca	1921	103	1
6	CA	37	Los Angeles	319	losangca	1921	104	2
6	CA	37	Los Angeles	319	losangca	1921	106	2
6	CA	37	Los Angeles	319	losangca	1921	107	3
6	CA	37	Los Angeles	319	losangca	1921	108	3
6	CA	37	Los Angeles	319	losangca	1921	109	3
6	CA	37	Los Angeles	319	losangca	1921	110	3
6	CA	37	Los Angeles	319	losangca	1921	201	4
6	CA	37	Los Angeles	319	losangca	1921	202	4
6	CA	37	Los Angeles	319	losangca	1921	203	4
6	CA	37	Los Angeles	319	losangca	1921	204	4
6	CA	37	Los Angeles	319	losangca	1921	205	5
6	CA	37	Los Angeles	319	losangca	1921	206	5
6	CA	37	Los Angeles	319	losangca	1921	207	5
6	CA	37	Los Angeles	319	losangca	1921	208	5
6	CA	37	Los Angeles	319	losangca	1922	101	1
6	CA	37	Los Angeles	319	losangca	1922	103	1
6	CA	37	Los Angeles	319	losangca	1922	105	1
6	CA	37	Los Angeles	319	losangca	1922	106	1
6	CA	37	Los Angeles	319	losangca	1922	107	1
6	CA	37	Los Angeles	319	losangca	1922	108	2
6	CA	37	Los Angeles	319	losangca	1922	109	2
6	CA	37	Los Angeles	319	losangca	1922	110	2
6	CA	37	Los Angeles	319	losangca	1922	111	1
6	CA	37	Los Angeles	319	losangca	1922	112	1
6	CA	37	Los Angeles	319	losangca	1922	113	2
6	CA	37	Los Angeles	319	losangca	1922	201	3
6	CA	37	Los Angeles	319	losangca	1922	202	4
6	CA	37	Los Angeles	319	losangca	1922	203	4
6	CA	37	Los Angeles	319	losangca	1922	204	3
6	CA	37	Los Angeles	319	losangca	1922	205	3
6	CA	37	Los Angeles	319	losangca	1922	206	4
6	CA	37	Los Angeles	319	losangca	1922	207	4
6	CA	37	Los Angeles	319	losangca	1922	208	3
6	CA	37	Los Angeles	319	losangca	1922	209	4
6	CA	37	Los Angeles	319	losangca	1922	210	4
6	CA	37	Los Angeles	319	losangca	1922	211	4
6	CA	37	Los Angeles	319	losangca	1922	212	4
6	CA	37	Los Angeles	319	losangca	1922	301	3
6	CA	37	Los Angeles	319	losangca	1922	302	3
6	CA	37	Los Angeles	319	losangca	1922	303	3
6	CA	37	Los Angeles	319	losangca	1922	304	3
6	CA	37	Los Angeles	319	losangca	1922	305	2
6	CA	37	Los Angeles	319	losangca	1922	306	1
6	CA	37	Los Angeles	319	losangca	1922	307	1
6	CA	37	Los Angeles	319	losangca	1922	308	2
6	CA	37	Los Angeles	319	losangca	1922	309	2
6	CA	37	Los Angeles	319	losangca	1922	310	2
6	CA	37	Los Angeles	319	losangca	1922	311	1
6	CA	37	Los Angeles	319	losangca	1922	312	1
6	CA	37	Los Angeles	319	losangca	1922	401	1
6	CA	37	Los Angeles	319	losangca	1922	402	1
6	CA	37	Los Angeles	319	losangca	1922	403	1
6	CA	37	Los Angeles	319	losangca	1922	404	1
6	CA	37	Los Angeles	319	losangca	1922	405	2
6	CA	37	Los Angeles	319	losangca	1922	406	2
6	CA	37	Los Angeles	319	losangca	1922	407	2
6	CA	37	Los Angeles	319	losangca	1922	408	2
6	CA	37	Los Angeles	319	losangca	1922	409	3
6	CA	37	Los Angeles	319	losangca	1922	410	4
6	CA	37	Los Angeles	319	losangca	1942	301	3
6	CA	37	Los Angeles	319	losangca	1942	302	3
6	CA	37	Los Angeles	319	losangca	1942	303	2
6	CA	37	Los Angeles	319	losangca	1942	304	1
6	CA	37	Los Angeles	319	losangca	1942	305	1
6	CA	37	Los Angeles	319	losangca	1942	306	2
6	CA	37	Los Angeles	319	losangca	1942	307	2
6	CA	37	Los Angeles	319	losangca	1942	308	1
6	CA	37	Los Angeles	319	losangca	1942	401	1
6	CA	37	Los Angeles	319	losangca	1942	402	1
6	CA	37	Los Angeles	319	losangca	1942	403	1
6	CA	37	Los Angeles	319	losangca	1942	404	1
6	CA	37	Los Angeles	319	losangca	1942	405	2
6	CA	37	Los Angeles	319	losangca	1942	406	2
6	CA	37	Los Angeles	319	losangca	1942	407	3
6	CA	37	Los Angeles	319	losangca	1942	409	1
6	CA	37	Los Angeles	319	losangca	1942	501	2
6	CA	37	Los Angeles	319	losangca	1942	502	2
6	CA	37	Los Angeles	319	losangca	1942	503	1
6	CA	37	Los Angeles	319	losangca	1942	504	1
6	CA	37	Los Angeles	319	losangca	1942	505	1
6	CA	37	Los Angeles	319	losangca	1942	506	1
6	CA	37	Los Angeles	319	losangca	1942	507	2
6	CA	37	Los Angeles	319	losangca	1942	508	3
6	CA	37	Los Angeles	319	losangca	1942	511	3
6	CA	37	Los Angeles	319	losangca	1942	513	1
6	CA	37	Los Angeles	319	losangca	1942	514	1
6	CA	37	Los Angeles	319	losangca	1942	515	1
6	CA	37	Los Angeles	319	losangca	1943	101	3
6	CA	37	Los Angeles	319	losangca	1943	103	3
6	CA	37	Los Angeles	319	losangca	1943	104	3
6	CA	37	Los Angeles	319	losangca	1943	105	3
6	CA	37	Los Angeles	319	losangca	1943	106	2
6	CA	37	Los Angeles	319	losangca	1943	107	2
6	CA	37	Los Angeles	319	losangca	1943	108	1
