Statefip	County	SMSA	Tract	jurcode	borderno	Block	tierno	pairno
6	1	San Francisco	4002	oaklanca	39	101	1	1
6	1	San Francisco	4002	oaklanca	39	102	1	1
6	1	San Francisco	4002	oaklanca	39	103	1	1
6	1	San Francisco	4002	oaklanca	39	104	1	1
6	1	San Francisco	4002	oaklanca	39	106	1	1
6	1	San Francisco	4002	oaklanca	39	107	2	1
6	1	San Francisco	4002	oaklanca	39	108	1	1
6	1	San Francisco	4002	oaklanca	39	109	2	1
6	1	San Francisco	4002	oaklanca	39	110	3	1
6	1	San Francisco	4002	oaklanca	39	201	3	1
6	1	San Francisco	4002	oaklanca	39	202	3	1
6	1	San Francisco	4002	oaklanca	39	203	3	1
6	1	San Francisco	4002	oaklanca	39	204	4	1
6	1	San Francisco	4002	oaklanca	39	207	4	1
6	1	San Francisco	4002	oaklanca	39	301	3	1
6	1	San Francisco	4002	oaklanca	39	302	2	1
6	1	San Francisco	4002	oaklanca	39	303	1	1
6	1	San Francisco	4002	oaklanca	39	304	1	1
6	1	San Francisco	4002	oaklanca	39	305	2	1
6	1	San Francisco	4002	oaklanca	39	306	1	1
6	1	San Francisco	4002	oaklanca	39	308	2	1
6	1	San Francisco	4003	oaklanca	39	103	5	1
6	1	San Francisco	4003	oaklanca	39	104	5	1
6	1	San Francisco	4003	oaklanca	39	105	6	1
6	1	San Francisco	4003	oaklanca	39	106	6	1
6	1	San Francisco	4003	oaklanca	39	107	7	1
6	1	San Francisco	4003	oaklanca	39	108	8	1
6	1	San Francisco	4004	oaklanca	39	101	1	1
6	1	San Francisco	4004	oaklanca	39	102	1	1
6	1	San Francisco	4004	oaklanca	39	103	1	1
6	1	San Francisco	4004	oaklanca	39	104	1	1
6	1	San Francisco	4004	oaklanca	39	105	1	1
6	1	San Francisco	4004	oaklanca	39	106	1	1
6	1	San Francisco	4004	oaklanca	39	205	1	1
6	1	San Francisco	4005	oaklanca	39	101	1	1
6	1	San Francisco	4005	oaklanca	39	102	1	1
6	1	San Francisco	4005	oaklanca	39	307	1	1
6	1	San Francisco	4005	oaklanca	39	402	1	1
6	1	San Francisco	4005	oaklanca	39	403	1	1
6	1	San Francisco	4005	oaklanca	39	404	1	1
6	1	San Francisco	4005	oaklanca	39	405	1	1
6	1	San Francisco	4005	oaklanca	39	406	1	1
6	1	San Francisco	4005	oaklanca	39	407	1	1
6	1	San Francisco	4007	oaklanca	39	101	1	1
6	1	San Francisco	4007	oaklanca	39	102	1	1
6	1	San Francisco	4007	oaklanca	39	105	1	1
6	1	San Francisco	4007	oaklanca	39	106	1	1
6	1	San Francisco	4007	oaklanca	39	107	1	1
6	1	San Francisco	4007	oaklanca	39	108	1	1
6	1	San Francisco	4008	oaklanca	39	103	1	1
6	1	San Francisco	4008	oaklanca	39	108	1	1
6	1	San Francisco	4008	oaklanca	39	201	1	1
6	1	San Francisco	4008	oaklanca	39	209	1	1
6	1	San Francisco	4008	oaklanca	39	210	1	1
6	1	San Francisco	4008	oaklanca	39	211	1	1
6	1	San Francisco	4237	berkelca	39	201	8	1
6	1	San Francisco	4237	berkelca	39	202	8	1
6	1	San Francisco	4237	berkelca	39	204	7	1
6	1	San Francisco	4237	berkelca	39	209	6	1
6	1	San Francisco	4237	berkelca	39	211	6	1
6	1	San Francisco	4237	berkelca	39	212	6	1
6	1	San Francisco	4237	berkelca	39	302	6	1
6	1	San Francisco	4237	berkelca	39	304	7	1
6	1	San Francisco	4237	berkelca	39	305	7	1
6	1	San Francisco	4237	berkelca	39	306	8	1
6	1	San Francisco	4237	berkelca	39	307	7	1
6	1	San Francisco	4238	berkelca	39	201	1	1
6	1	San Francisco	4238	berkelca	39	202	1	1
6	1	San Francisco	4238	berkelca	39	203	1	1
6	1	San Francisco	4238	berkelca	39	204	2	1
6	1	San Francisco	4238	berkelca	39	208	3	1
6	1	San Francisco	4238	berkelca	39	209	3	1
6	1	San Francisco	4238	berkelca	39	211	3	1
6	1	San Francisco	4238	berkelca	39	212	4	1
6	1	San Francisco	4238	berkelca	39	213	3	1
6	1	San Francisco	4238	berkelca	39	214	4	1
6	1	San Francisco	4238	berkelca	39	216	5	1
6	1	San Francisco	4238	berkelca	39	301	5	1
6	1	San Francisco	4238	berkelca	39	302	5	1
6	1	San Francisco	4238	berkelca	39	303	5	1
6	1	San Francisco	4238	berkelca	39	304	5	1
6	1	San Francisco	4238	berkelca	39	305	5	1
6	1	San Francisco	4238	berkelca	39	306	6	1
6	1	San Francisco	4238	berkelca	39	307	5	1
6	1	San Francisco	4238	berkelca	39	308	4	1
6	1	San Francisco	4238	berkelca	39	309	3	1
6	1	San Francisco	4238	berkelca	39	310	2	1
