Statefip	County	SMSA	Tract	Jurcode	Borderno	Block	Tier	odd shape	tracks	pairno
44	7	Providence	10101	easprori	45	101	1			1
44	7	Providence	10101	easprori	45	102	2			1
44	7	Providence	10101	easprori	45	103	3			1
44	7	Providence	10101	easprori	45	106	4			1
44	7	Providence	10101	easprori	45	107	4			1
44	7	Providence	10101	easprori	45	108	4			1
44	7	Providence	10101	easprori	45	403	4	Y		1
44	7	Providence	10101	easprori	45	111	5			1
44	7	Providence	10101	easprori	45	110	5	Y		1
44	7	Providence	10101	easprori	45	116	6			1
44	7	Providence	10101	easprori	45	112	6			1
44	7	Providence	10101	easprori	45	405	6			1
44	7	Providence	10101	easprori	45	406	7			1
44	7	Providence	10101	easprori	45	115	7			1
44	7	Providence	10101	easprori	45	409	7			1
44	7	Providence	10101	easprori	45	117	7			1
44	7	Providence	10101	easprori	45	118	7			1
44	7	Providence	10101	easprori	45	119	8			1
44	7	Providence	10101	easprori	45	410	8			1
44	7	Providence	10101	easprori	45	201	8	Y		1
44	7	Providence	10101	easprori	45	113	8			1
44	7	Providence	10102	easprori	45	101	1	Y		1
44	7	Providence	10102	easprori	45	102	5	Y		1
44	7	Providence	10102	easprori	45	103	6	Y		1
44	7	Providence	10102	easprori	45	105	7			1
44	7	Providence	10102	easprori	45	106	8	Y		1
44	7	Providence	170	pawtucri	45	204	1	Y		1
44	7	Providence	170	pawtucri	45	122	1	Y		1
44	7	Providence	170	pawtucri	45	123	1			1
44	7	Providence	170	pawtucri	45	121	2			1
44	7	Providence	170	pawtucri	45	201	2			1
44	7	Providence	170	pawtucri	45	120	2			1
44	7	Providence	170	pawtucri	45	202	2			1
44	7	Providence	170	pawtucri	45	203	3			1
44	7	Providence	170	pawtucri	45	113	3			1
44	7	Providence	170	pawtucri	45	116	3			1
44	7	Providence	170	pawtucri	45	114	3			1
44	7	Providence	170	pawtucri	45	118	3	Y		1
44	7	Providence	170	pawtucri	45	117	3			1
44	7	Providence	170	pawtucri	45	115	3			1
44	7	Providence	170	pawtucri	45	214	4			1
44	7	Providence	170	pawtucri	45	206	4			1
44	7	Providence	170	pawtucri	45	205	4			1
44	7	Providence	170	pawtucri	45	111	4			1
44	7	Providence	170	pawtucri	45	109	4			1
44	7	Providence	170	pawtucri	45	110	4			1
44	7	Providence	170	pawtucri	45	112	5			1
44	7	Providence	170	pawtucri	45	209	5			1
44	7	Providence	170	pawtucri	45	208	5			1
44	7	Providence	170	pawtucri	45	207	5			1
44	7	Providence	170	pawtucri	45	105	6			1
44	7	Providence	170	pawtucri	45	212	6			1
44	7	Providence	170	pawtucri	45	106	6			1
44	7	Providence	170	pawtucri	45	103	6			1
44	7	Providence	170	pawtucri	45	213	6			1
44	7	Providence	170	pawtucri	45	104	6			1
44	7	Providence	170	pawtucri	45	210	6			1
44	7	Providence	170	pawtucri	45	216	7			1
44	7	Providence	170	pawtucri	45	215	7			1
44	7	Providence	170	pawtucri	45	218	7			1
44	7	Providence	170	pawtucri	45	108	7			1
44	7	Providence	170	pawtucri	45	217	7			1
44	7	Providence	170	pawtucri	45	107	8			1
44	7	Providence	170	pawtucri	45	219	8			1
44	7	Providence	163	pawtucri	46	213	1	Y		1
44	7	Providence	163	pawtucri	46	106	1	Y		1
44	7	Providence	163	pawtucri	46	203	1			1
44	7	Providence	163	pawtucri	46	204	1			1
44	7	Providence	163	pawtucri	46	201	1	Y		1
44	7	Providence	163	pawtucri	46	205	1			1
44	7	Providence	163	pawtucri	46	206	2	Y		1
44	7	Providence	163	pawtucri	46	221	2	Y		1
44	7	Providence	163	pawtucri	46	209	2			1
44	7	Providence	163	pawtucri	46	207	2	Y		1
44	7	Providence	163	pawtucri	46	208	2			1
44	7	Providence	163	pawtucri	46	220	3			1
44	7	Providence	163	pawtucri	46	222	3			1
44	7	Providence	163	pawtucri	46	211	4			1
44	7	Providence	163	pawtucri	46	212	4			1
44	7	Providence	163	pawtucri	46	223	4			1
44	7	Providence	163	pawtucri	46	210	4			1
44	7	Providence	163	pawtucri	46	214	5			1
44	7	Providence	163	pawtucri	46	216	5			1
44	7	Providence	163	pawtucri	46	219	5			1
44	7	Providence	163	pawtucri	46	217	5			1
44	7	Providence	163	pawtucri	46	218	5			1
44	7	Providence	163	pawtucri	46	224	6			1
44	7	Providence	163	pawtucri	46	215	6			1
44	7	Providence	163	pawtucri	46	226	7			1
44	7	Providence	163	pawtucri	46	225	7			1
44	7	Providence	163	pawtucri	46	303	7			1
44	7	Providence	163	pawtucri	46	302	8			1
44	7	Providence	163	pawtucri	46	301	8			1
44	7	Providence	165	pawtucri	46	201	1			1
44	7	Providence	165	pawtucri	46	202	1			1
44	7	Providence	165	pawtucri	46	203	1			1
44	7	Providence	29	providri	46	105	1			1
44	7	Providence	29	providri	46	104	1			1
44	7	Providence	29	providri	46	103	1			1
44	7	Providence	29	providri	46	112	2			1
44	7	Providence	29	providri	46	109	2			1
44	7	Providence	29	providri	46	111	3			1
44	7	Providence	29	providri	46	113	3			1
44	7	Providence	29	providri	46	118	4	Y		1
44	7	Providence	29	providri	46	116	5			1
44	7	Providence	29	providri	46	120	5			1
44	7	Providence	29	providri	46	206	6			1
44	7	Providence	29	providri	46	205	6			1
44	7	Providence	29	providri	46	210	7			1
44	7	Providence	29	providri	46	207	7			1
44	7	Providence	29	providri	46	208	7			1
44	7	Providence	29	providri	46	209	7			1
44	7	Providence	29	providri	46	213	7			1
44	7	Providence	29	providri	46	304	8	Y		1
44	7	Providence	29	providri	46	303	8			1
44	7	Providence	29	providri	46	302	8			1
44	7	Providence	33	providri	46	101	1			1
44	7	Providence	33	providri	46	102	1	Y		1
44	7	Providence	140	cranstri	47	101	1	Y		1
44	7	Providence	141	cranstri	47	118	1	Y		1
44	7	Providence	141	cranstri	47	406	1	Y		1
44	7	Providence	141	cranstri	47	101	1	Y		1
44	7	Providence	141	cranstri	47	403	1	Y		1
44	7	Providence	141	cranstri	47	327	1			1
44	7	Providence	141	cranstri	47	121	1			1
44	7	Providence	141	cranstri	47	117	1			1
44	7	Providence	141	cranstri	47	328	1			1
44	7	Providence	141	cranstri	47	120	1			1
44	7	Providence	141	cranstri	47	401	1	Y		1
44	7	Providence	141	cranstri	47	324	1	Y		1
44	7	Providence	147	cranstri	47	611	1	Y		1
44	7	Providence	13701	cranstri	47	210	1		Y	1
44	7	Providence	13701	cranstri	47	230	1		Y	1
44	7	Providence	13701	cranstri	47	201	2	Y	Y	1
44	7	Providence	13701	cranstri	47	108	2	Y	Y	1
44	7	Providence	13701	cranstri	47	106	2	Y	Y	1
44	7	Providence	13701	cranstri	47	213	3		Y	1
44	7	Providence	13701	cranstri	47	114	3	Y	Y	1
44	7	Providence	13701	cranstri	47	227	3		Y	1
44	7	Providence	13701	cranstri	47	113	4		Y	1
44	7	Providence	13701	cranstri	47	121	4		Y	1
44	7	Providence	13701	cranstri	47	214	4		Y	1
44	7	Providence	13701	cranstri	47	119	4		Y	1
44	7	Providence	2	providri	47	714	1		Y	1
44	7	Providence	2	providri	47	701	1	Y	Y	1
44	7	Providence	2	providri	47	706	2		Y	1
44	7	Providence	2	providri	47	704	2		Y	1
44	7	Providence	2	providri	47	710	2		Y	1
44	7	Providence	2	providri	47	703	2		Y	1
44	7	Providence	2	providri	47	705	2		Y	1
44	7	Providence	2	providri	47	717	3		Y	1
44	7	Providence	2	providri	47	708	3		Y	1
44	7	Providence	2	providri	47	725	3	Y	Y	1
44	7	Providence	2	providri	47	716	3		Y	1
44	7	Providence	2	providri	47	709	3		Y	1
44	7	Providence	2	providri	47	713	3		Y	1
44	7	Providence	2	providri	47	719	3		Y	1
44	7	Providence	2	providri	47	712	3		Y	1
44	7	Providence	2	providri	47	723	4	Y	Y	1
44	7	Providence	2	providri	47	722	4		Y	1
44	7	Providence	2	providri	47	720	4	Y	Y	1
44	7	Providence	15	providri	47	313	1	Y		1
44	7	Providence	15	providri	47	301	1			1
44	7	Providence	15	providri	47	302	1			1
44	7	Providence	15	providri	47	312	1			1
44	7	Providence	15	providri	47	311	1			1
44	7	Providence	15	providri	47	310	1			1
44	7	Providence	15	providri	47	106	1			1
44	7	Providence	15	providri	47	309	1			1
44	7	Providence	15	providri	47	314	1	Y		1
44	7	Providence	15	providri	47	103	1	Y		1
44	7	Providence	15	providri	47	108	1			1
44	7	Providence	15	providri	47	105	1			1
44	7	Providence	15	providri	47	308	2			1
44	7	Providence	15	providri	47	307	2			1
44	7	Providence	15	providri	47	306	2			1
44	7	Providence	15	providri	47	303	3			1
44	7	Providence	15	providri	47	305	3			1
44	7	Providence	15	providri	47	304	3			1
44	7	Providence	15	providri	47	216	4			1
44	7	Providence	15	providri	47	218	4			1
44	7	Providence	15	providri	47	215	5			1
44	7	Providence	15	providri	47	214	6			1
44	7	Providence	15	providri	47	212	7			1
44	7	Providence	15	providri	47	213	7			1
44	7	Providence	15	providri	47	211	8			1
44	7	Providence	16	providri	47	411	1			1
44	7	Providence	16	providri	47	413	1	Y		1
44	7	Providence	16	providri	47	503	1			1
44	7	Providence	16	providri	47	501	1			1
44	7	Providence	17	providri	47	111	1			1
44	7	Providence	17	providri	47	407	1			1
44	7	Providence	17	providri	47	110	1			1
44	7	Providence	17	providri	47	406	1			1
42	3	Pittsburgh	5131	braddopa	48	111	1			1
42	3	Pittsburgh	5131	braddopa	48	102	1	Y		1
42	3	Pittsburgh	5131	braddopa	48	109	1			1
42	3	Pittsburgh	5131	braddopa	48	311	1			1
42	3	Pittsburgh	5131	braddopa	48	310	1			1
42	3	Pittsburgh	5131	braddopa	48	104	2			1
42	3	Pittsburgh	5131	braddopa	48	103	3			1
42	3	Pittsburgh	5131	braddopa	48	108	3			1
42	3	Pittsburgh	5131	braddopa	48	105	3			1
42	3	Pittsburgh	5131	braddopa	48	101	4	Y		1
42	3	Pittsburgh	5132	braddopa	48	217	1			1
42	3	Pittsburgh	5132	braddopa	48	205	1			1
42	3	Pittsburgh	5132	braddopa	48	216	1			1
42	3	Pittsburgh	5141	rankinpa	48	204	1			1
42	3	Pittsburgh	5141	rankinpa	48	202	1			1
42	3	Pittsburgh	5141	rankinpa	48	101	1	Y		1
42	3	Pittsburgh	5141	rankinpa	48	111	1			1
42	3	Pittsburgh	5141	rankinpa	48	205	1			1
42	3	Pittsburgh	5141	rankinpa	48	206	2	Y		1
42	3	Pittsburgh	5141	rankinpa	48	208	3			1
42	3	Pittsburgh	5141	rankinpa	48	110	3			1
42	3	Pittsburgh	5141	rankinpa	48	109	3			1
42	3	Pittsburgh	5141	rankinpa	48	103	4			1
42	3	Pittsburgh	5161	edgewopa	49	106	1			2
42	3	Pittsburgh	5161	edgewopa	49	102	1			2
42	3	Pittsburgh	5161	edgewopa	49	104	1			2
42	3	Pittsburgh	5161	edgewopa	49	103	1			2
42	3	Pittsburgh	5161	edgewopa	49	105	1			2
42	3	Pittsburgh	5161	edgewopa	49	109	2			2
42	3	Pittsburgh	5161	edgewopa	49	107	2			2
42	3	Pittsburgh	5161	edgewopa	49	209	2	Y		2
42	3	Pittsburgh	5161	edgewopa	49	110	2	Y		2
42	3	Pittsburgh	5161	edgewopa	49	108	2			2
42	3	Pittsburgh	5161	edgewopa	49	111	3			2
42	3	Pittsburgh	5161	edgewopa	49	208	3			2
42	3	Pittsburgh	5161	edgewopa	49	201	4	Y		2
42	3	Pittsburgh	5161	edgewopa	49	206	4	Y		2
42	3	Pittsburgh	5161	edgewopa	49	212	5	Y		2
42	3	Pittsburgh	5161	edgewopa	49	211	5			2
42	3	Pittsburgh	5161	edgewopa	49	205	6			2
42	3	Pittsburgh	5161	edgewopa	49	204	7	Y		2
42	3	Pittsburgh	5162	edgewopa	49	111	1			1
42	3	Pittsburgh	5162	edgewopa	49	212	1			1
42	3	Pittsburgh	5162	edgewopa	49	106	1			1
42	3	Pittsburgh	5162	edgewopa	49	101	1	Y		1
42	3	Pittsburgh	5162	edgewopa	49	204	1	Y		1
42	3	Pittsburgh	5162	edgewopa	49	210	1			1
42	3	Pittsburgh	5162	edgewopa	49	206	1			1
42	3	Pittsburgh	5162	edgewopa	49	109	1			1
42	3	Pittsburgh	5162	edgewopa	49	211	1			1
42	3	Pittsburgh	5162	edgewopa	49	110	1	Y		1
42	3	Pittsburgh	5162	edgewopa	49	108	1	Y		1
42	3	Pittsburgh	5162	edgewopa	49	214	1	Y		1
42	3	Pittsburgh	5610	edgewopa	49	206	1	Y		1
42	3	Pittsburgh	5610	edgewopa	49	203	1			1
42	3	Pittsburgh	5610	edgewopa	49	201	1	Y		1
42	3	Pittsburgh	5610	edgewopa	49	204	1	Y		1
42	3	Pittsburgh	5610	edgewopa	49	209	1	Y		1
42	3	Pittsburgh	5610	edgewopa	49	205	1	Y		1
42	3	Pittsburgh	5605	wilkinpa	49	412	1			2
42	3	Pittsburgh	5605	wilkinpa	49	206	1			2
42	3	Pittsburgh	5605	wilkinpa	49	304	1			2
42	3	Pittsburgh	5605	wilkinpa	49	217	1	Y		2
42	3	Pittsburgh	5605	wilkinpa	49	303	1			2
42	3	Pittsburgh	5605	wilkinpa	49	302	1			2
42	3	Pittsburgh	5605	wilkinpa	49	301	1			2
42	3	Pittsburgh	5605	wilkinpa	49	209	2			2
42	3	Pittsburgh	5605	wilkinpa	49	205	2			2
42	3	Pittsburgh	5605	wilkinpa	49	308	2			2
42	3	Pittsburgh	5605	wilkinpa	49	306	2			2
42	3	Pittsburgh	5605	wilkinpa	49	307	2			2
42	3	Pittsburgh	5605	wilkinpa	49	305	2	Y		2
42	3	Pittsburgh	5605	wilkinpa	49	311	3			2
42	3	Pittsburgh	5605	wilkinpa	49	216	3			2
42	3	Pittsburgh	5605	wilkinpa	49	214	3			2
42	3	Pittsburgh	5605	wilkinpa	49	309	3			2
42	3	Pittsburgh	5605	wilkinpa	49	310	3			2
42	3	Pittsburgh	5605	wilkinpa	49	211	3			2
42	3	Pittsburgh	5605	wilkinpa	49	212	3			2
42	3	Pittsburgh	5605	wilkinpa	49	201	3	Y		2
42	3	Pittsburgh	5605	wilkinpa	49	101	4	Y		2
42	3	Pittsburgh	5605	wilkinpa	49	213	4			2
42	3	Pittsburgh	5605	wilkinpa	49	104	5	Y		2
42	3	Pittsburgh	5605	wilkinpa	49	406	5	Y		2
