Statefip	County	SMSA	jurcode	Tract	Block	Border	Tier	pairno
006	037	Los Angeles	losangca	1243	101	10	1	1
006	037	Los Angeles	losangca	1243	102	10	1	1
006	037	Los Angeles	losangca	1243	103	10	1	1
006	037	Los Angeles	losangca	1243	109	10	1	1
006	037	Los Angeles	losangca	1243	110	10	1	1
006	037	Los Angeles	losangca	1253	114	10	1	1
006	037	Los Angeles	losangca	1253	113	10	1	1
006	037	Los Angeles	losangca	1253	111	10	1	1
006	037	Los Angeles	losangca	1253	110	10	1	1
006	037	Los Angeles	losangca	1253	117	10	1	1
006	037	Los Angeles	losangca	1253	103	10	1	1
006	037	Los Angeles	losangca	1253	108	10	1	1
006	037	Los Angeles	losangca	1253	101	10	1	1
006	037	Los Angeles	losangca	1431	107	10	1	1
006	037	Los Angeles	losangca	1431	108	10	1	1
006	037	Los Angeles	losangca	1431	109	10	1	1
006	037	Los Angeles	losangca	1431	113	10	1	1
006	037	Los Angeles	losangca	1431	115	10	1	1
006	037	Los Angeles	losangca	1883	101	11	1	1
006	037	Los Angeles	losangca	1883	102	11	1	1
006	037	Los Angeles	losangca	2349	209	12	1	1
006	037	Los Angeles	losangca	2349	304	12	1	1
006	037	Los Angeles	losangca	2349	305	12	1	1
006	037	Los Angeles	losangca	2351	113	12	1	1
006	037	Los Angeles	losangca	2351	114	12	1	1
006	037	Los Angeles	losangca	2351	201	12	1	1
006	037	Los Angeles	losangca	2351	202	12	1	1
006	037	Los Angeles	losangca	2351	203	12	1	1
006	037	Los Angeles	losangca	2351	204	12	1	1
006	037	Los Angeles	losangca	2351	314	12	1	1
006	037	Los Angeles	losangca	2351	401	12	1	1
006	037	Los Angeles	losangca	2351	402	12	1	1
006	037	Los Angeles	losangca	2351	403	12	1	1
006	037	Los Angeles	losangca	2351	404	12	1	1
006	037	Los Angeles	losangca	2384	415	12	1	1
006	037	Los Angeles	losangca	2384	401	12	1	1
006	037	Los Angeles	losangca	2384	317	12	1	1
006	037	Los Angeles	losangca	2384	316	12	1	1
006	037	Los Angeles	losangca	2385	501	12	1	1
006	037	Los Angeles	losangca	2385	504	12	1	1
006	037	Los Angeles	losangca	2385	505	12	1	1
006	037	Los Angeles	losangca	2385	511	12	1	1
006	037	Los Angeles	losangca	2731	505	15	1	1
006	037	Los Angeles	losangca	2731	506	15	1	1
006	037	Los Angeles	losangca	2731	507	15	1	1
006	037	Los Angeles	glendaca	3014	306	8	1	1
