Name	State	State_text	Jurcode	Noelectronic	Poptot	Popbl	Per_span	Pop_spanlan	Per_ed5	Per_edhs	Per_edcol	pers_25+	num_nosch	num_14yr	num_4hs	num_4col	Meded	Famtot	Fam1000	Fam1999	Fam2999	Fam2999a	Fam3999	Fam4999	Fam4999a	Fam5999	Fam6999	Fam6999a	Fam7999	Fam8999	Fam9999	Fam9999a	Fam11999	Fam14999	Fam14999a	Fam24999	Fam24999a	Fam49999	Fam25000	Fam50000	Fammedinc	Perpov	expgen_ce	exped_ce	exphig_ce	Sh_polfire	exppol	expfire	expsew_ce	expsan	exppark
GLENDALE	4	AZ	glendaaz	0	36305	141	0.217	.	0.072	0.556	0.091	.	.	.	.		12.2	9025	209	246	10.1		550	12.3		520	11.2		722	607	21.9		1238	27.9		14.5		169	2.1		9232	0.118	3817	.	302	23.4	713	468	93	636	375
PHOENIX	4	AZ	phoeniaz	0	581600	27868	0.043		0.014	0.779	0.196	.	.	.	.	.	12.8	147253	2950	3878	8.4		6303	9.2		8010	11.6		10041	10657	21.2		19819	28.4		16.7		5404	4.6		9953	0.088	75984	3516	4506	25.1	19085	7531	2207	11317	17950
SCOTTSDALE	4	AZ	scottsaz	0	67839	123	0.14	.	0.043	0.589	0.117	.	.	.	.	.	12.3	17546	241	232	4.3		492	5.1		600	7.3		736	933	15.6		2273	32.6		27.6		1156	7.5		12728	0.042	7919	.	588	17.1	1285	329	529	1395	712
FRESNO	6	CA	fresnoca	0	165972	15771	0.215	.	0.055	0.532	0.084	.	.	.	.	.	12.1	41277	948	1607	11.9		2768	12.7		2419	11.8		2774	2942	20.6		5011	26.2		14.5		903	2.3		8971	0.129	40999	.	1487	20.4	4921	3921	725	725	3073
SAN BERNARDINO	6	CA	sanberca	0	104394	14599	0.18	.	0.065	0.591	0.115	.	.	.	.	.	12.3	25852	825	842	11.5		1641	12.7		1659	13.7		1894	1871	21.4		2938	24		13.3		716	3.3		8656	0.128	18203	.	2162	21.4	2772	2480	1354	1156	4133
HARTFORD	9	CT	hartfoct	0	158017	44540	0.076	.	0.091	0.398	0.072	.	.	.	.		10.6	36696	1315	992	11.2		1817	10.6		2322	12.7		2709	2682	21.9		4933	27.4		13.6		808	2.6		9108	0.126	87901	37001	1558	9.2	7502	6436	.	1953	5822
INDIANAPOLIS	18	IN	indianin	0	744570	134203	.	.	0.034	0.471	0.062		.	.	.	.	11.6	186940	3114	3962	6.6	.	6535	7.8		9119	10.1		11642	13250	20.2		26441	30.4	.	19.4	.	8480	5.5	.	10751	0.071	139579	1190	12139	28.1	17488	10637	5096	4194	13129
MISHAWAKA	18	IN	mishawin	0	35453	107	0.01	.	0.04	0.541	0.105	.	.	.	.	.	12.1	9501	186	201	7.5	.	341	8.6		567	12.9		799	788	25.3		1508	30.2	.	13.5	.	171	1.9	.	9493	0.07	3921	.	434	33.4	630	759	300	180	325
SOUTH BEND	18	IN	soubenin	0	125802	17739	0.008	.	0.033	0.548	0.115	.	.	.	.	.	12.1	32169	497	450	6.7		1382	8.1		1579	10.9		2251	2521	22.6		4982	31.5		15.8		1207	4.5		10227	0.062	16398	267	1677	30.6	3277	3008	1316	350	1651
DES MOINES	19	IA	desmoiia	0	200772	11449	0.013	.	0.02	0.653	0.116	.	.	.	.	.	12.4	50588	584	1114	7.3	.	2266	9	.	2510	11.1	.	3365	3584	20.8	.	7482	30.7	.	16.7	.	1750	4.3	.	10238	0.069	35240	.	5386	17.1	5182	4187	2229	1830	2409
CHICOPEE	25	MA	chicopma	0	66676	1208	0.013	.	0.051	0.439	0.06	.	.	.	.	.	11.2	16850	264	276	5.8		624	8.4	.	976	12.9	.	1299	1509	25.2	.	2627	32.6	.	14	.	182	1.2	.	9732	0.054	18113	10354	658	10.9	1144	1456	109	675	464
SPRINGFIELD	25	MA	springma	0	163886	20615	0.033	.	0.049	0.507	0.075	.	.	.	.	.	12	40462	1037	903	9.1	.	2119	10.4	.	2106	11.1	.	2881	2969	22.6	.	5936	30	.	14.2	.	926	2.6	.	9609	0.097	64215	27410	2818	13.6	4420	4552	1230	1368	7465
GRAND RAPIDS	26	MI	grarapmi	0	197534	22199	0.01	.	0.016	0.496	0.054	.	.	.	.	.	12	47612	1025	1147	9.1	.	2048	8.9	.	2427	10.9	.	3035	3512	21.1	.	6303	28.6	.	16.9	.	1851	4.6	.	10004	0.089	29849	.	3382	22.7	5124	3901	1869	764	2813
WYOMING	26	MI	wyominmi	0	56568	291	0.015	.	0.033	0.528	0.104	.	.	.	.	.	12.1	14371	174	200	5	.	444	6.3	.	517	8.8	.	894	1364	24.1	.	2563	37.5	.	16.2	.	288	2.2	.	10655	0.048	6447	.	809	9.4	1012	381	437	.	650
LAS VEGAS	32	NV	lasvegnv	0	125641	13983	0.108	.	0.03	0.545	0.051	.	.	.	.	.	12.1	31752	676	640	7.2	.	1020	7.4	.	1417	9.3	.	1574	1997	17.6	.	4062	29.6	.	23	.	1620	5.9	.	11338	0.073	20667	.	1311	41.2	7541	3802	748	477	2764
NORTH LAS VEGAS	32	NV	norlasnv	0	36216	8804	0.046	.	0.022	0.654	0.105	.	.	.	.	.	12.4	8815	160	268	8.5	.	469	11.7	.	662	16.4	.	748	732	23.9	.	1066	25.5	.	12.5	.	118	1.5	.	8592	0.101	6195	1	642	26.1	1500	665	563	435	623
AKRON	39	OH	akronoh	0	275420	48232	0.018	.	0.02	0.636	0.107	.	.	.	.	.	12.3	70464	1567	2201	9	.	2818	8.8	.	3387	10	.	4451	5314	21.8	.	10356	30.6	.	16	.	2151	3.8	.	10050	0.088	46648	.	5038	16.5	7617	5397	4286	1957	2129
BARBERTON	39	OH	barberoh	0	33061	1248	.	.	0.045	0.47	0.052	.	.	.	.	.	11.6	8779	90	249	7.7	.	367	8.8	.	491	11.2	.	718	919	26.8	.	1345	30.4	.	13.4	.	123	1.8	.	9454	0.073	3377	.	540	27	549	530	445	244	799
CANTON	39	OH	cantonoh	0	109939	13871	.	.	0.009	0.902	0.446	.	.	.	.	.	15.2	28083	605	852	9.1	.	1312	9.8	.	1432	11.5	.	2212	2416	25.7	.	4130	28.4	.	12.7	.	646	2.8	.	9342	0.089	14961	.	1967	33.7	3429	2319	1021	367	513
COLUMBUS	39	OH	columboh	0	539377	99649	0.013	.	0.05	0.454	0.056	.	.	.	.	.	11.4	128594	3075	3760	9.2	.	5754	9.2	.	7097	11.5	.	9211	9503	22.1	.	18315	29.5	.	15.4	.	3276	3	.	9729	0.098	78564	.	5126	22.8	15057	11237	5333	5198	6767
UPPER ARLINGTON	39	OH	upparloh	0	38537	38	0.026	.	0.076	0.425	0.054	.	.	.	.	.	11.1	10524	93	99	2.6	.	140	2.5	.	178	3.4	.	253	335	9.7	.	846	21.7	.	33.9	.	2162	26.2	.	17971	0.024	2785	.	324	31.9	598	612	25	398	377
WHITEHALL	39	OH	whitehoh	0	25234	241	0.007	.	0.045	0.497	0.089	.	.	.	.	.	12	6696	76	83	4.3	.	162	6	.	344	9.9	.	601	480	25.7	.	1096	32.4	.	18.6	.	189	3.1	.	10498	0.041	1456	.	162	44.1	475	350	.	136	58
YOUNGSTOWN	39	OH	youngsoh	0	139702	35307	0.006	.	0.034	0.556	0.114	.	.	.	.	.	12.2	35424	904	1399	12	.	1701	9.2	.	1776	10.4	.	3131	3199	26.2	.	5256	28	.	11.8	.	785	2.5	.	9077	0.111	17592	.	2284	24.6	3676	3131	1228	717	857
PORTLAND	41	OR	portlaor	0	381877	21506	0.017	.	0.027	0.604	0.124	.	.	.	.	.	12.3	96921	1801	2450	8.9	.	4575	9.8	.	5260	11.4	.	6413	7250	21.5	.	12991	28.1	.	15.7	.	3569	4.7	.	9789	0.081	62861	.	4403	26.8	13416	10053	3577	2060	7888
ALLENTOWN	42	PA	allentpa	0	109521	1989	0.041	.	0.045	0.491	0.112	.	.	.	.	.	11.9	28799	392	597	6.6	.	1309	9.5	.	1486	11.7	.	2303	2463	25.3	.	4323	30.5	.	13.1	.	749	3.3	.	9649	0.061	12853	.	1230	23.1	2020	1634	1232	860	1162
BETHLEHEM	42	PA	bethlepa	0	72731	1390	.	.	0.051	0.467	0.063	.	.	.	.	.	11.5	18693	240	357	6.4		674	7.7	.	921	11.6	.	1204	1541	22.8	.	2735	31	.	16.2	.	647	4.5	.	10217	0.057	9325	.	862	24.7	1500	1195	377	91	795
SCRANTON	42	PA	scrantpa	0	103494	770	0.007	.	0.033	0.463	0.073	.	.	.	.	.	11.5	27142	531	722	8.8	.	1410	11.5	.	2118	17.7	.	2640	2336	26.5	.	3342	23.3	.	9.5	.	636	2.7	.	8271	0.082	12766	.	399	18.8	1840	2333	2457	807	457
