Name	Jurcode	Statefip	State	Poptot	Popbl	Perspan	Perfb	Meded	Pered5	Peredhs	Peredcol	Famtot	Fam1000	Fam1999	Fam2999	Fam3999	Fam4999	Fam5999	Fam6999	Fam7999	Fam8999	Fam9999	Fam11999	Fam14999	Fam24999	Fam49999	Fammedinc	Perpov	Total_revenue	Total_gen_rev	Total_own_rev	Total_tax_rev	Total_exp	Total_gen_exp	Total_cap	Education	Highways	Police	Fire	Parks	Sew_san	Educ_cap	High_cap	Sew_cap
SOUTHFIELD	southfmi	26	MI	69129	102	0.008	0.411	12.7	0.022	0.742	0.228	17955	.	.	2.7	.	2.7		3.4			7		22.5	37	24.6	18140	0.024		14604	11784	6803		18044		0	4743	2625	1473	1179	578		3796	
OVERLAND PARK	oveparks	20	KS	76868	107	0.011	0.082	13	0.007	0.853	0.273	20190	.	.	1.9	.	2.1		5.3			13.3		32.9	35	9.5	14146	0.019		5326	4340	2474		4966		0	1233	1034	2	659	372		864	
EAST DETROIT	easdetmi	26	MI	45881	13	0.011	0.374	11.7	0.037	0.477	0.045	11836	152	149	4.2	293	4.6	267	5.1	440	661	16	1583	34.9	30.3	5	12943	0.039		5049	3435	2532		5290		0	1074	1181	464	353	493		499	6
DEARBORN HEIGHTS	deaheimi	26	MI	80083	12	0.014	0.309	12.2	0.029	0.572	0.095	20282	.	.	2.6	.	3.6		3.9			14.8		35.8	32.4	6.9	13499	0.026		7918	5395	3779		7856		0	1320	1398	888	376	693		191	87
LAKEWOOD	lakewoco	8	CO	92716	130	0.047	0.118	12.7	0.011	0.761	0.207	23976	.	.	3.6	.	4.5		6.2			17.3		36.5	25.9	6.2	12422	0.036		5833	4549	4285		4074		0	1245	1444		282			261	
BEVERLY HILLS	bevhilca	6	CA	33396	348	0.056	0.534	13	0.018	0.794	0.256	9252	203	121	5.4	166	4.1	236	5.4	302	294	8.7	655	14.5	22.5	39.4	20303	0.045		13069	11940	9199		12763		0	1243	1859	1532	1272	150		312	5
ENGLEWOOD	englewco	8	CO	33675	56	0.057	0.119	12.3	0.019	0.612	0.1	9050	100	164	6.1	426	9.4	601	11.8	630	720	22.7	1441	31.5	15.4	3.1	10001	0.061		6809	6379	4304		4868		0	937	837	638	435	961		452	753
WEST HOLLYWOOD	wesholca	6	CA	29424	341	0.061	0.3	12.6	0.04	0.68	0.157	7703	159	207	312	379	380	515	493	496	368	429	942	1067	1183	541	10241	0.067																
WESTMONT	westmoca	6	CA	29263	23582	0.091	0.033	12.2	0.03	0.56	0.052	7155	327	261	450	443	520	522	561	558	589	473	910	757	687	68	7884	0.176																
CULVER CITY	culcitca	6	CA	31350	131	0.134	0.339	12.5	0.022	0.675	0.138	8647	126	177	5.6	216	5.5	245	6.6	482	398	16.2	1296	32.5	25.3	8.3	12184	0.058		7807	6291	5077		7168		0	1277	1429	1494	771	161		279	1
DALY CITY	dalcitca	6	CA	67246	3530	0.187	0.368	12.4	0.026	0.678	0.11	17691	.	.	5.1	.	4.3		7.3			16.5		35	26.6	5.2	12228	0.051		7523	5158	4399		8108		0	2567	1434	1130		499		2220	
COMMERCE CITY	comcitco	8	CO	17451	199	0.215	0.013	11.2	0.032	0.423	0.022	4166	59	123	191	201	215	268	265	381	466	320	674	554	374	64	8815	0.11		1539	1290	1206		1119		0	472	365		9			262	
SAN FERNANDO	sanferca	6	CA	16523	85	0.49	0.185	11.05	0.13	0.43	0.047	4099	.	135	209	290	222	280	250	337	277	243	463	500	634	116	8803	0.123		2589	1986	1335		2566		0	149	696	334	178	22		1	
HARPER WOODS	harwoomi	26	MI	20176	2	0.00193299	0.095	12.2	0.026	0.599	0.092	5406	32	60	66	103	142	114	161	165	256	272	815	1011	1749	446	13534	0.023		2565	2028	1834		2520		0	271	606	367	140	275		50	8
COLUMBIA HEIGHTS	colheimn	27	MN	23997	12	0.001833563	0.03	12.3	0.012	0.639	0.082	6073	32	55	64	131	199	119	206	259	415	520	1088	1449	1390	141	11905	0.019		2435	1831	943		2351		0	729	252	127	279	276		431	37
BELLEFONTAINE NEIGHBORS	belneimo	29	MO	13975	167	0.003577818	0.02	11.6	0.032	0.254	0.091	3837	18	32	44	120	82	112	168	180	293	273	601	685	1013	185	11985	0.024		476	283	273		520		0	144	187		9			8	
NORTH PROVIDENCE	norprori	44	RI	24352	80	0.002915572	0.076	11.7	0.041	0.467	0.084	6530	113	87	130	189	222	309	357	424	561	676	1094	995	1119	214	10360	0.048		7617	5806	5610		7468		3925	302	382	157	45	1432		124	1741
MAPLEWOOD	maplewmo	29	MO	12752	252	0.008939774	0.031	11.25	0.019	0.443	0.091	46	60	143	170	157	223	297	254	248	283	568	500	431	36	4	9396	0.055		1109	922	888		1083		0	345	284	144	38			0	
JENNINGS	jenninmo	29	MO	19411	100	0.005975993	0.029	10.05	0.037	0.379	0.061	5516	48	68	178	177	268	283	226	375	412	478	871	972	1028	115	10563	0.036		1735	1413	1337		1488		0	227	489	259	59			10	
RICHMOND HEIGHTS	richeimo	29	MO	13797	1766	0.009059941	0.049	12.5	0.026	0.63	0.196	3578	27	50	102	81	171	155	124	245	190	255	420	662	613	348	11852	0.04		1488	1266	1189		1420		0	324	386	250	18			90	
LEAWOOD	leawooks	20	KS	10287	9	0.01322057	0.018	14.65	0.007	0.887	0.37	2988	20	18	24	3	29	34	51	28	58	39	141	369	1092	912	21227	0.017		779	673	424		660		0	230	174	103	7	56		12	7
GROSSE POINT PARK	gropoimi	26	MI	15594	22	0.009234321	0.08	13.5	0.015	0.749	0.307	3860	56	52	25	71	107	87	87	88	143	191	305	431	1040	841	17760	0.039		2004	1537	1448		2229		0	245	482	300	134	95		66	
MERRIAM	merriaks	29	KS	10851	255	0.013823611																					12484									0								
EVERGREEN PARK	eveparil	17	IL	27367	0	0.005590675	0.356	12.2	0.032	0.578	0.097	7170	47	60	3	150	3.9	174	5	258	301	12.9	921	32.5	32.8	10	13903	0.027		3436	2982	1972		3180		0	559	638	122	105			51	
