Name	County	State	jurcode	SMSA	no electronic	poptot	popbl	pop_spanlan	popfb	pop2g	pers_25+	num_nosch	num_14yr	num_4hs	num_4col	meded	famtot	fam1000	fam1999	fam2999	fam3999	fam4999a	fam5999	fam6999a	fam7999	fam8999	fam9999a	fam11999	fam14999a	fam24999a	fam49999	fam50000	fammedinc	fambelowpov	proptax	expgen_ce	exped_ce	exphig_ce	exppol	expsew_ce	expsan	exppark	expint	AMR_1quart	AMR_Med	AMR_3quart
Alhambra	Los Angeles	CA	alhambca	Los Angeles	N	.	197	10833	.	13822	.	.	.	.	.	.	.	236	384	.	698	.	760	.	1171	1107		2299			757					4693	0	1037	1019	49	424	464	5	16.4	18.6	21.3
Anaheim	Orange	CA	anaheica	Los Angeles	N	.	170	15513	.	22881	.	.	.	.	.	.	.	647	704	.	1075	.	1622	.	2222	2664	.	6140	.	.	1899	.	.	.	.	12344	0	1303	2876	31	732	2772	235	17	19.9	24.1
Atlanta	Fulton	GA	atlantga	Atlanta	N	.	.	4523	.	10388	.	.	.	.	.	.	.	4345	5204	.	6657	.	7248	.	7598	7301	.	10865	.	.	4929	.	.	.	.	51770	10038	3981	8594	2495	6048	8480	4804	16.1	18.5	21.8
Aurora	Adams	CO	auroraco	Denver	N	.	.	1715	.	2642	.	.	.	.	.	.	.	121	103	.	214	.	376	.	530	671	.	1081	.	.	109	.	.	.	.	2635	0	341	560	168	97	410	59	.	29.3	.
Bayonne	Hudson	NJ	bayonnnj 	New York City	N	.	.	2228	.	24282	.	.	.	.	.	.	.	369	396	.	659	.	862	.	1242	1487	.	2888	.	.	643	.	.	.	.	13527	5617	308	1495	277	467	992	405	.	24	.
Bellflower	Los Angeles	CA	bellflca	Los Angeles	N	.	18	4099	.	5946	.	.	.	.	.	.	.	284	219	.	488	.	718	.	933	1067	.	2136	.	.	367	.	.	.	.	1458	0	323	441	2	0	261	0	16.4	18.6	21.3
Berkeley	Alameda	CA	berkelca	San Francisco	N	.	.	4848	.	18902	.	.	.	.	.	.	.	742	767	.	1257	.	1423	.	1590	1238	.	2521	.	.	1807	.	.	.	.	11807	0	832	1933	265	924	1910	102	11.6	13	15.6
Berwyn	Cook	IL	berwynil	Chicago	N	.	8	660	.	17721	.	.	.	.	.	.	.	155	212	.	485	.	477	.	713	947	.	2252	.	.	589	.	.	.	.	2021	0	263	525	0	149	171	113	31.5	36.6	42.1
Boston	X	MA	bostonma	Boston	N	.	.	17984	.	153101	.	.	.	.	.	.	.	4003	3911	.	7906	.	8698	.	10016	10644	.	17713	.	.	4225	.	.	.	.	295813	56269	6129	22976	1724	5912	6365	6834	23.8	30.1	39.4
Braddock	Alleghany	PA	braddopa	Pittsburgh	Y	8682	3139	.	429	.	5127	163	335	1377	173	10	1810	48	118	131	145	99	127	132	179	126	126	258	152	162	7	0	7587	310	280	440	2	98	120	0	50	0	18	.	41.5	.
Brookline	Norfolk	MA	brooklma	Boston	Y	58886	498	667	9506	20211	38331	648	286	12272	5290	13.3	14215	188	198	315	349	397	442	531	753	661	759	1426	1920	3388	2034	854	13701	559	14104	4627	2870	214	261	0	111	155	257	.	44.9	.
Burbank	Los Angeles	CA	burbanca	Los Angeles	N	.	60	8500	.	15753	.	.	.	.	.	.	.	330	330	.	839	.	1137	.	1335	1517	.	3430	.	.	1322	.	.	.	.	11179	2	1323	2048	244	633	1436	187	16.4	18.6	21.3
Cambridge	Middlesex	MA	cambrima	Boston	N	.	.	1954	.	23060	.	.	.	.	.	.	.	558	480	.	1029	.	1160	.	1426	1448	.	2614	.	.	1041	.	.	.	.	32434	7070	1292	2390	151	1000	607	458	.	29.9	.
Carnegie	Alleghany	PA	carnegpa	Pittsburgh	Y	10864	193	106	690	2765	6659	242	251	2223	436	11.2	2962	58	56	112	139	124	148	196	278	246	243	535	367	397	63	0	9510	213	225	396	0	110	109	0	40	4	2	.	41.5	.
Chalfant	Alleghany	PA	chalfapa	Pittsburgh	Y	1370	12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	41.5	.
