Country Name,Changes ,ID
Tajikistan,-14.18,f1
Moldova,-6.32,f1
Uzbekistan,-4.03,f1
Kyrgyz Republic,-2.86,f1
Bulgaria,-0.44,f1
Romania,-0.41,f1
Azerbaijan,-0.28,f1
Hungary,-0.26,f1
Albania,-0.23,f1
Slovak Republic,-0.17,f1
Poland,-0.1,f1
Turkmenistan,-0.09,f1
"Macedonia, FYR",-0.05,f1
Slovenia,-0.03,f1
Lithuania,0.04,f1
Belarus,0.06,f1
Russian Federation,0.07,f1
Kazakhstan,0.08,f1
Czech Republic,0.1,f1
Estonia,0.23,f1
Kosovo,0.34,f1
Montenegro,0.72,f1
Ukraine,1.3,f1
Serbia,3.71,f1
2002,1.89,f2
2003,3.66,f2
2004,8.1,f2
2005,12.73,f2
2006,16.69,f2
2007,18.51,f2
2008,23.8,f2
2009,20.94,f2
2010,26.41,f2
2011,27.57,f2
2012,30.75,f2
2013,31.06,f2
2014,30.03,f2
2015,25.27,f2
