State,Density,Pop,CasesPerMillionApril10,CasesPerMillionMarch31,DaysSinceStayAtHomeOrderEffective,TrumpVote2016Percent,Conservative,Liberal,ConservativeLiberalDiff,March31April10Spread
Alabama,96.9221,4908621,578.1664545,204,6,62.9,43,16,27,374.166455
Alaska,1.2863,734002,320.1626154,180,13,52.9,36,17,19,140.162615
Arizona,64.955,7378494,409.0265575,180,10,49.5,33,23,10,229.026558
Arkansas,58.403,3038999,370.8457949,186,0,60.4,42,17,25,184.845795
California,256.3727,39937489,458.4414408,206,22,32.8,27,30,-3,252.441441
Colorado,56.4011,5845526,1060.982365,521,15,44.4,30,28,2,539.982365
Connecticut,735.8689,3563077,2745.941219,876,18,41.2,28,30,-2,1869.94122
Delaware,504.3073,982895,1230.039831,330,17,41.9,28,28,0,900.039831
Florida,410.1256,21992985,742.1912032,305,7,49.1,35,22,13,437.191203
Georgia,186.6719,10736059,1054.204341,436,7,51.3,36,21,15,618.204341
Hawaii,219.9419,1412687,273.2381625,130,16,30.1,25,25,0,143.238163
Idaho,22.0969,1826156,740.9005583,299,16,59.2,42,22,20,441.900558
Illinois,228.0243,12659682,1297.188982,470,20,39.4,30,27,3,827.188982
Indiana,188.281,6745354,941.5369453,323,17,57.2,36,22,14,618.536945
Iowa,56.9284,3179849,399.3900339,157,0,51.8,37,24,13,242.390034
Kansas,35.5968,2910357,380.0221073,147,11,57.2,38,18,20,233.022107
Kentucky,113.9566,4499692,322.6887529,132,15,62.5,39,20,19,190.688753
Louisiana,107.5175,4645184,3935.904369,1124,18,58.1,40,17,23,2811.90437
Maine,43.6336,1345790,416.1124693,226,8,45.2,34,30,4,190.112469
Maryland,626.6731,6083116,1145.46558,275,11,35.3,28,29,-1,870.46558
Massachusetts,894.4355,6976597,2714.933943,959,17,33.5,22,35,-13,1755.93394
Michigan,177.6655,10045029,2140.76037,762,17,47.6,34,23,11,1378.76037
Minnesota,71.5922,5700671,234.3583764,123,14,45.4,32,27,5,111.358376
Mississippi,63.7056,2989260,825.9569258,359,7,58.3,43,14,29,466.956926
Missouri,89.7453,6169270,573.6497187,217,4,57.1,38,21,17,356.649719
Montana,7.4668,1086759,335.8610327,191,13,56.5,42,21,21,144.861033
Nebraska,25.4161,1952570,295.5079715,92,0,60.3,41,21,20,203.507972
Nevada,28.5993,3139658,782.2508057,367,9,45.5,33,22,11,415.250806
New Hampshire,153.1605,1371246,597.2670112,271,14,47.2,31,25,6,326.267011
New Jersey,1215.1991,8936574,5709.90628,2099,20,41.8,28,27,1,3610.90628
New Mexico,17.285,2096640,471.7071123,150,17,40,32,25,7,321.707112
New York,412.5211,19440469,8079.691905,3809,19,37.5,27,31,-4,4270.69191
North Carolina,218.2702,10611862,344.048952,153,11,50.5,36,21,15,191.048952
North Dakota,11.0393,761723,353.1467476,166,0,64.1,39,15,24,187.146748
Ohio,287.5038,11747694,469.1984657,188,18,52.1,35,21,14,281.198466
Oklahoma,57.6547,3954821,425.8094108,143,0,65.3,42,17,25,282.809411
Oregon,44.8086,4301089,307.1315195,165,18,41.1,28,31,-3,142.13152
Pennsylvania,286.5449,12820878,1421.743503,378,9,48.8,34,24,10,1043.7435
Rhode Island,1021.4323,1056161,1835.894338,492,13,39.8,24,29,-5,1343.89434
South Carolina,173.3174,5210095,535.882743,213,0,54.9,41,17,24,322.882743
South Dakota,11.9116,903027,495.0018106,122,0,61.5,41,15,26,373.001811
Tennessee,167.2748,6897576,671.9751982,331,10,61.1,40,18,22,340.975198
Texas,112.8204,29472295,347.1056462,114,8,52.6,38,20,18,233.105646
Utah,39.943,3282115,627.9487465,295,0,45.9,42,18,24,332.948747
Vermont,68.1416,628061,999.9028757,468,17,32.6,25,39,-14,531.902876
Virginia,218.4403,8626207,522.7094597,174,11,45,33,23,10,348.70946
Washington,117.3272,7797095,1232.253807,650,18,38.2,29,30,-1,582.253807
West Virginia,73.9691,1778070,294.1391509,90,17,68.7,38,19,19,204.139151
Wisconsin,108.0497,5851754,493.0145731,232,16,47.9,35,23,12,261.014573
Wyoming,5.84,567025,421.4981703,208,0,70.1,46,13,33,213.49817
