ID,Date1,Date2,gender,age,att1,att2,att3,att1_T2,att2_T2,att3_T2,pos,neg,moral,cert1,cert2,cert3,cert4,cert5,cert6,cert7,subj1,subj2,subj3,imp1,imp2,imp3,eas,know,topic
48586,1/7/2013,2/6/2013,Female,19,3,6,4,2,6,2,3,5,3,4,2,2,2,2,2,1,5,7,7,2,2,2,7,1,Organic Foods
28109,1/7/2013,NA,Male,18,4,4,5,NA,NA,NA,6,2,2,1,2,2,2,2,3,3,2,3,3,1,1,1,2,2,Organic Foods
12578,1/7/2013,NA,NA,NA,2,2,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,2,1,Organic Foods
34029,1/7/2013,2/6/2013,Female,18,5,5,5,5,5,5,6,3,5,4,3,4,4,3,4,4,5,5,6,3,3,4,3,4,Organic Foods
71450,1/7/2013,NA,Male,19,4,4,4,NA,NA,NA,1,1,1,7,7,7,7,1,1,1,1,1,1,1,1,1,7,6,Organic Foods
83273,1/7/2013,2/6/2013,Female,18,7,7,7,7,7,7,7,1,1,6,6,6,7,1,1,1,1,1,2,6,7,7,7,6,Organic Foods
85497,1/7/2013,2/7/2013,Male,19,5,7,4,4,6,5,2,1,2,3,3,3,2,4,4,4,1,2,2,4,3,5,1,3,Organic Foods
65477,1/7/2013,2/6/2013,NA,NA,5,5,5,5,4,4,3,3,2,2,2,2,2,2,5,2,3,5,5,2,1,2,4,2,Organic Foods
42655,1/7/2013,2/7/2013,Female,35,7,7,7,7,7,7,2,2,1,5,5,5,5,5,1,3,1,1,3,5,5,3,1,5,Organic Foods
89177,1/7/2013,2/7/2013,Female,23,5,5,5,6,6,5,6,3,3,3,3,3,3,3,2,2,2,2,5,4,4,4,2,2,Organic Foods
13275,1/7/2013,2/6/2013,Female,18,7,7,7,7,7,7,7,1,3,5,7,4,7,7,4,1,1,2,1,4,3,2,1,2,Organic Foods
