ID,Date1,gender,age,att1,att2,att3,pos,neg,moral,cert1,cert2,cert3,cert4,cert5,cert6,cert7,subj1,subj2,subj3,imp1,imp2,imp3,eas,know,Date2,att1_T2,att2_T2,att3_T2,Date3,att1_T3,att2_T3,att3_T3,topic
14080,8/21/2013,NA,NA,4,4,5,4,3,2,3,5,4,4,4,3,4,3,3,3,4,3,4,4,5,10/23/2013,4,3,5,NA,NA,NA,NA,Alcohol
23449,8/21/2013,Male,19,5,4,6,5,2,5,5,5,5,5,5,4,4,1,2,3,4,4,3,3,5,10/23/2013,5,5,6,NA,NA,NA,NA,Alcohol
54093,8/21/2013,Female,18,4,2,4,5,3,1,5,7,7,7,3,4,3,2,2,2,3,2,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol
80784,8/21/2013,Female,19,4,4,4,4,2,2,7,1,4,4,4,1,1,5,5,7,2,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol
68408,8/21/2013,Male,18,3,4,5,6,5,5,6,5,5,5,3,5,2,3,2,3,2,3,3,3,3,10/31/2013,3,3,5,NA,NA,NA,NA,Alcohol
14547,8/21/2013,Female,18,1,1,1,1,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,1,7,10/24/2013,1,1,1,NA,NA,NA,NA,Alcohol
80441,8/21/2013,Male,18,4,4,4,3,2,4,5,5,5,5,3,2,3,3,3,5,3,3,3,5,5,10/23/2013,4,4,5,NA,NA,NA,NA,Alcohol
37829,8/21/2013,Female,18,3,2,3,3,5,5,4,4,2,2,1,1,1,6,5,5,6,4,5,4,6,10/23/2013,3,3,4,NA,NA,NA,NA,Alcohol
48626,8/21/2013,NA,NA,6,5,5,5,2,4,4,5,4,4,4,5,5,2,2,3,2,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol
30376,8/21/2013,Male,18,3,2,3,2,3,4,3,3,3,3,4,5,5,4,3,3,3,3,3,3,5,10/29/2013,3,3,3,NA,NA,NA,NA,Alcohol
19502,8/21/2013,Male,18,6,6,6,6,2,NA,5,5,4,3,2,5,5,2,5,3,4,3,2,1,5,10/23/2013,5,5,6,NA,NA,NA,NA,Alcohol
54192,8/21/2013,Male,20,1,1,1,1,5,7,7,7,7,7,7,7,7,5,1,1,1,1,1,1,7,10/26/2013,1,1,1,9/1/2014,2,2,3,Alcohol
52042,8/21/2013,Female,18,4,4,4,5,4,2,3,6,4,6,4,1,1,5,5,5,4,2,2,3,4,10/24/2013,4,4,4,NA,NA,NA,NA,Alcohol
67861,8/21/2013,Female,19,6,4,7,6,1,3,6,6,5,6,7,7,7,2,1,4,7,5,6,2,7,10/23/2013,5,4,7,NA,NA,NA,NA,Alcohol
70538,8/21/2013,Female,18,4,3,4,3,4,4,3,7,4,6,2,5,5,5,5,5,4,3,4,5,5,10/23/2013,5,5,5,NA,NA,NA,NA,Alcohol
69532,8/21/2013,Female,18,5,3,7,5,5,2,5,4,4,4,4,5,4,6,6,7,4,2,2,5,4,10/23/2013,5,4,6,NA,NA,NA,NA,Alcohol
95754,8/21/2013,Female,18,4,3,4,5,5,5,5,5,5,5,4,4,4,3,3,3,4,4,4,3,5,10/24/2013,5,4,5,NA,NA,NA,NA,Alcohol
82011,8/21/2013,Female,18,5,5,6,4,4,5,6,6,5,6,5,2,5,5,2,4,3,3,4,3,5,10/23/2013,6,5,5,NA,NA,NA,NA,Alcohol
40036,8/21/2013,Female,18,2,3,2,3,4,3,5,3,4,2,5,4,2,4,3,4,2,4,3,5,6,10/27/2013,4,3,3,NA,NA,NA,NA,Alcohol
41796,8/21/2013,Female,20,4,4,4,3,3,5,5,5,4,5,3,4,4,6,5,7,3,3,3,5,4,10/23/2013,5,4,4,9/1/2014,4,4,4,Alcohol
10368,8/21/2013,Female,19,2,1,4,2,4,1,7,6,6,7,6,4,4,4,1,4,4,4,4,7,7,10/23/2013,4,2,4,NA,NA,NA,NA,Alcohol
19025,8/21/2013,Male,18,1,1,1,1,6,6,6,5,6,6,6,4,6,2,1,1,3,2,2,2,5,10/23/2013,2,2,2,NA,NA,NA,NA,Alcohol
50551,8/21/2013,Male,20,6,5,6,5,3,6,4,4,3,5,5,5,4,2,2,2,5,4,5,2,3,10/23/2013,6,6,7,NA,NA,NA,NA,Alcohol
38003,8/21/2013,Male,19,4,3,4,5,4,5,3,4,3,3,4,4,4,5,4,4,5,5,5,4,4,10/23/2013,3,4,5,NA,NA,NA,NA,Alcohol
26201,8/21/2013,Female,18,3,2,5,2,2,3,3,3,3,3,3,4,4,4,3,3,3,4,3,4,4,10/23/2013,2,2,2,9/2/2014,5,4,6,Alcohol
90597,8/21/2013,Female,22,5,5,6,5,2,4,5,5,5,4,5,1,4,6,3,3,5,4,6,5,4,10/23/2013,2,2,5,NA,NA,NA,NA,Alcohol
59588,8/21/2013,Female,18,5,4,7,6,2,4,7,7,7,7,5,4,4,3,3,5,1,2,2,1,7,10/23/2013,5,4,7,NA,NA,NA,NA,Alcohol
83016,8/21/2013,Female,20,2,2,2,2,6,7,5,6,5,5,6,4,6,5,5,5,6,6,6,1,5,10/24/2013,2,2,3,NA,NA,NA,NA,Alcohol
67299,8/21/2013,Male,19,6,4,4,5,4,3,6,5,7,7,5,6,4,2,5,2,2,5,5,2,7,10/23/2013,5,3,5,9/1/2014,5,5,6,Alcohol
38203,8/21/2013,Female,20,3,4,4,3,2,3,3,3,3,3,3,3,3,4,4,6,1,4,3,4,3,10/23/2013,4,4,4,NA,NA,NA,NA,Alcohol
43414,8/22/2013,Male,18,7,7,7,7,2,3,7,7,7,7,2,5,5,2,1,1,1,1,1,1,7,10/28/2013,6,4,7,NA,NA,NA,NA,Alcohol
24091,8/22/2013,Female,18,5,4,6,5,3,3,5,4,5,5,3,2,2,3,2,1,2,2,2,4,5,NA,NA,NA,NA,9/8/2014,4,4,5,Alcohol
81103,8/22/2013,Male,19,6,6,7,6,2,4,6,5,5,7,5,5,5,2,2,2,4,3,3,2,6,NA,NA,NA,NA,9/1/2014,5,4,5,Alcohol
43419,8/22/2013,Female,21,6,4,7,6,2,6,2,5,2,5,5,2,5,2,2,3,4,4,3,6,3,10/23/2013,7,7,7,9/6/2014,6,6,7,Alcohol
58159,8/22/2013,Female,19,3,3,3,2,4,5,5,5,5,5,5,5,5,2,2,2,6,6,6,3,7,NA,NA,NA,NA,9/1/2014,3,3,3,Alcohol
